%time,field.header.seq,field.header.stamp,field.header.frame_id,field.X,field.Y,field.Z,field.A,field.B,field.C
1637084748744972552,144258,0,,-0.00109999999404,30.6994991302,2.11470007896,-179.999099731,-0.569800019264,178.120101929
1637084748748807052,144259,0,,-0.00159999995958,30.7971000671,2.11430001259,-179.998703003,-0.569800019264,178.120101929
1637084748752742513,144260,0,,-0.00159999995958,30.8950996399,2.11369991302,-179.998504639,-0.569800019264,178.120101929
1637084748756823174,144261,0,,-0.000600000028498,30.9943008423,2.11209988594,-179.998397827,-0.56970000267,178.120101929
1637084748760948451,144262,0,,-0.000300000014249,31.0937995911,2.11039996147,-179.998397827,-0.569599986076,178.120101929
1637084748764779556,144263,0,,0.000300000014249,31.1958999634,2.10809993744,-179.998596191,-0.569500029087,178.119995117
1637084748768839832,144264,0,,0.000399999989895,31.2982006073,2.10640001297,-179.998794556,-0.569500029087,178.119903564
1637084748772865129,144265,0,,0.000600000028498,31.4009990692,2.10409998894,-179.999099731,-0.569400012493,178.119903564
1637084748776754428,144266,0,,0.00109999999404,31.5016994476,2.10220003128,-179.999206543,-0.569299995899,178.119903564
1637084748780816901,144267,0,,0.00200000009499,31.6019001007,2.10010004044,-179.999206543,-0.569199979305,178.119903564
1637084748784827447,144268,0,,0.00240000011399,31.7017993927,2.09859991074,-179.999298096,-0.569100022316,178.119903564
1637084748788754892,144269,0,,0.00240000011399,31.8005008698,2.09800004959,-179.999298096,-0.569100022316,178.119903564
1637084748792924528,144270,0,,0.00190000003204,31.8994998932,2.09750008583,-179.999298096,-0.569100022316,178.119903564
1637084748796748439,144271,0,,0.00310000008903,32.0013008118,2.09579992294,-179.99949646,-0.569000005722,178.119796753
1637084748800792940,144272,0,,0.00340000004508,32.1046981812,2.09489989281,-179.999893188,-0.569000005722,178.119796753
1637084748804849722,144273,0,,0.00410000002012,32.2080993652,2.09409999847,179.999694824,-0.569000005722,178.119796753
1637084748808790870,144274,0,,0.00490000005811,32.3116989136,2.09279990196,179.999206543,-0.569000005722,178.119796753
1637084748812743070,144275,0,,0.00600000005215,32.4132995605,2.09209990501,179.998794556,-0.568899989128,178.119796753
1637084748816826146,144276,0,,0.00719999987632,32.513999939,2.09109997749,179.998397827,-0.568899989128,178.119796753
1637084748820790046,144277,0,,0.00789999961853,32.6138000488,2.09060001373,179.998001099,-0.568899989128,178.119796753
1637084748824767926,144278,0,,0.00800000037998,32.7137985229,2.09089994431,179.997695923,-0.568899989128,178.119796753
1637084748828836562,144279,0,,0.00769999995828,32.8135986328,2.09100008011,179.997497559,-0.568899989128,178.119796753
1637084748832787679,144280,0,,0.00749999983236,32.9135017395,2.09060001373,179.997406006,-0.568899989128,178.119796753
1637084748836781866,144281,0,,0.00680000009015,33.0130996704,2.09150004387,179.997299194,-0.568899989128,178.119796753
1637084748840868372,144282,0,,0.00529999984428,33.1129989624,2.09270000458,179.997299194,-0.569000005722,178.119796753
1637084748844826559,144283,0,,0.0054999999702,33.2084007263,2.09389996529,179.99760437,-0.569000005722,178.119796753
1637084748848741883,144284,0,,0.0054999999702,33.2999000549,2.09579992294,179.998001099,-0.569100022316,178.119796753
1637084748852827578,144285,0,,0.00710000004619,33.3858985901,2.09730005264,179.998596191,-0.569199979305,178.119796753
1637084748856828250,144286,0,,0.00829999987036,33.4659004211,2.09960007668,179.999298096,-0.569299995899,178.119796753
