%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1572924749057390939,60,1572924749004410982,,-0.000543786387425,-0.00665664020926,-0.00211593043059
1572924749111242727,61,1572924749058418989,,-0.000471534091048,-0.00675689987838,-0.00217164168134
1572924749165113244,62,1572924749111505031,,-0.000652212533168,-0.00699817575514,-0.00236398144625
1572924749219074404,63,1572924749165261983,,-0.000615974597167,-0.00678741792217,-0.00236404431053
1572924749272109980,64,1572924749219209909,,-0.000739032984711,-0.00671093724668,-0.00244020461105
1572924749326312398,65,1572924749272758007,,-0.000656275020447,-0.0064901006408,-0.00208029476926
1572924749380714338,66,1572924749326733112,,-0.0005346898688,-0.00667699240148,-0.00221316935495
1572924749434994747,67,1572924749381052017,,-0.000706528371666,-0.00695663038641,-0.00242434791289
1572924749487813148,68,1572924749435384988,,-0.000763323216233,-0.00688619539142,-0.00235706754029
1572924749541619726,69,1572924749488217115,,-0.000484411692014,-0.00658293161541,-0.00209781737067
1572924749595780885,70,1572924749542120933,,-0.000581635918934,-0.00698308600113,-0.00225130771287
1572924749649538535,71,1572924749596287965,,-0.00051844958216,-0.00700439978391,-0.00231173424982
1572924749702835142,72,1572924749650131940,,-0.000702638935763,-0.00682691065595,-0.00222402531654
1572924749806939991,73,1572924749703299999,,-0.000560092390515,-0.00686567788944,-0.00220465660095
1572924749861200339,74,1572924749807729005,,-0.000670487177558,-0.00686239497736,-0.00233466131613
1572924749914976494,75,1572924749861561059,,-0.000807001488283,-0.0067240037024,-0.00236377771944
1572924749968332265,76,1572924749915055990,,-0.000592940661591,-0.00674999551848,-0.0022183675319
1572924750023900909,77,1572924749968842983,,-0.000742508738767,-0.00676308525726,-0.0023980634287
1572924750076920060,78,1572924750023206949,,-0.000562854751479,-0.00678639486432,-0.00215422152542
1572924750131069601,79,1572924750077770948,,-0.000435481808381,-0.00680584600195,-0.00209369021468
1572924750184702351,80,1572924750131479024,,-0.000576906488277,-0.00674408953637,-0.00217040698044
1572924750237865936,81,1572924750184571027,,-0.000627944769803,-0.00671818386763,-0.00221565482207
1572924750291207300,82,1572924750238609075,,-0.000660341756884,-0.00687495293096,-0.00223570712842
1572924750344835406,83,1572924750291477918,,-0.000649019086268,-0.00691055320203,-0.00215800735168
1572924750398645103,84,1572924750345390081,,-0.000546175637282,-0.006773842033,-0.00210145884193
1572924750452682061,85,1572924750399223089,,-0.000506020034663,-0.00686933193356,-0.00206553097814
1572924750506721933,86,1572924750453247070,,-0.00079630385153,-0.00692103477195,-0.00248230760917
1572924750558861963,87,1572924750505775928,,-0.000694232119713,-0.00674859900028,-0.00237556896172
1572924750613224823,88,1572924750559623003,,-0.000523562019225,-0.00660494156182,-0.00208796141669
1572924750667589437,89,1572924750613748073,,-0.000569198338781,-0.00676314393058,-0.0022979080677
1572924750721517049,90,1572924750668152093,,-0.000740533636417,-0.00696970755234,-0.00245243846439
1572924750775097060,91,1572924750721847057,,-0.000672672875226,-0.00681622046977,-0.00225310586393
1572924750829371636,92,1572924750775924921,,-0.000416871480411,-0.00647261366248,-0.00211711064912
1572924750884398175,93,1572924750829992055,,-0.000615007826127,-0.00650560902432,-0.00216062902473
1572924750989737945,94,1572924750884471893,,-0.000562373606954,-0.00707266526297,-0.00232893996872
1572924751043604050,95,1572924750990155935,,-0.000682115321979,-0.00678720371798,-0.00218624947593
1572924751097629670,96,1572924751044306993,,-0.000581821834203,-0.00676387315616,-0.00202069012448
1572924751151072761,97,1572924751097914934,,-0.000505359203089,-0.00679196463898,-0.00214844988659
1572924751204751237,98,1572924751151462078,,-0.000472405663459,-0.00666260439903,-0.00210810289718
1572924751257477720,99,1572924751205200910,,-0.000653873372357,-0.0066772219725,-0.0022397916764
1572924751311557064,100,1572924751257858037,,-0.000829537864774,-0.0068128737621,-0.00233477936126
1572924751364613183,101,1572924751311156034,,-0.000755861634389,-0.00681129842997,-0.00242671417072
1572924751421407344,102,1572924751365061044,,-0.000695788185112,-0.00669700885192,-0.00218261918053
1572924751524229409,103,1572924751420655012,,-0.00071160326479,-0.00680803414434,-0.00233829533681
1572924751578190958,104,1572924751524585962,,-0.000644334941171,-0.00660776160657,-0.00222552986816
1572924751632942455,105,1572924751578725099,,-0.000619704835117,-0.00660598417744,-0.0022894225549
1572924751738339812,106,1572924751633595943,,-0.000794808962382,-0.00699786841869,-0.00226234132424
1572924751791562237,107,1572924751738641977,,-0.000423963967478,-0.00685944454744,-0.00207129213959
1572924751845676219,108,1572924751792479038,,-0.000572635210119,-0.00685542356223,-0.0021543437615
1572924751899227354,109,1572924751846074104,,-0.000654590898193,-0.00665523670614,-0.00223524752073
1572924751952827183,110,1572924751900059938,,-0.000679072225466,-0.00702221831307,-0.0023445864208
1572924752006717143,111,1572924751953237056,,-0.000735010835342,-0.00700891995803,-0.00239961757325
1572924752061612909,112,1572924752008196115,,-0.000757172005251,-0.00706513458863,-0.00240008626133
1572924752115786915,113,1572924752062024116,,-0.000749273924157,-0.00655651837587,-0.0021239395719
1572924752168717707,114,1572924752116200923,,-0.000703503785189,-0.0065945009701,-0.00240345904604
1572924752272685261,115,1572924752169069051,,-0.000783016148489,-0.00685940636322,-0.00237089558505
1572924752328115733,116,1572924752272974014,,-0.000617887882981,-0.0066036679782,-0.00220458675176
1572924752380535458,117,1572924752326940059,,-0.000621681800112,-0.00669710710645,-0.0021387997549
1572924752434385843,118,1572924752381011962,,-0.0006656034966,-0.0069258552976,-0.00214756652713
1572924752487977902,119,1572924752434741020,,-0.000536143081263,-0.00653570424765,-0.00211712252349
1572924752543097335,120,1572924752489742994,,-0.000720262760296,-0.00686135701835,-0.00240033701994
1572924752597323047,121,1572924752543646097,,-0.000717104703654,-0.00534472055733,-0.00200107134879
1572924752651361628,122,1572924752597788095,,0.000336570752552,-0.0027129240334,-8.91292002052e-05
1572924752705232832,123,1572924752652147054,,0.00182000710629,-0.000775601365604,0.00162511691451
1572924752759544210,124,1572924752705982923,,0.00581530621275,0.000755966291763,0.0035371822305
1572924752813489707,125,1572924752759990930,,0.00591065175831,0.00106089247856,0.00348588963971
1572924752866826883,126,1572924752813918113,,0.00552197033539,0.00110206683166,0.00327993114479
1572924752920524065,127,1572924752867089986,,0.00550625752658,0.00110671808943,0.00353798340075
1572924752973752804,128,1572924752921150922,,0.00531658809632,0.00132819882128,0.00404472835362
1572924753027028040,129,1572924752974020957,,0.00545272696763,0.00131261686329,0.00423780549318
1572924753082165807,130,1572924753027774095,,0.00570313120261,0.00115763605572,0.0039324820973
1572924753134864324,131,1572924753081193923,,0.00520076183602,0.000942946877331,0.00351038109511
1572924753188760997,132,1572924753135191917,,0.00509233959019,0.000930891546886,0.00348351406865
1572924753241628798,133,1572924753189115047,,0.00513770291582,0.000930519134272,0.00340734189376
1572924753295258179,134,1572924753241806030,,0.00507542630658,0.000880327948835,0.00341831170954
1572924753347961438,135,1572924753295469045,,0.00546653335914,0.000956020492595,0.00390356127173
1572924753401542290,136,1572924753348474979,,0.00539176072925,0.00103917950764,0.00391304120421
1572924753455478954,137,1572924753402087926,,0.00542542571202,0.00101982464548,0.00381904863752
1572924753510198326,138,1572924753457031011,,0.00513621605933,0.000913837517146,0.00352848949842
1572924753564447404,139,1572924753510756015,,0.00547146983445,0.00100813992321,0.00384440622292
1572924753617968494,140,1572924753565067052,,0.00517192296684,0.000900872109924,0.00359786069021
1572924753724733634,141,1572924753619324922,,0.00542629417032,0.000935245945584,0.00388785172254
1572924753777984980,142,1572924753725189924,,0.00539966067299,0.000960512086749,0.00379711063579
1572924753831768381,143,1572924753778223037,,0.00511240074411,0.000807988981251,0.00353318848647
1572924753885968146,144,1572924753832612991,,0.00511171435937,0.000890877388883,0.00367811485194
1572924753939475744,145,1572924753886529922,,0.00545383244753,0.000938783108722,0.00375612219796
1572924753992170159,146,1572924753938565015,,0.0052830344066,0.000878019491211,0.00358471274376
1572924754045321150,147,1572924753991820096,,0.00535545730963,0.00100119260605,0.0038541413378
1572924754099583156,148,1572924754046010017,,0.00530020613223,0.000928501947783,0.00349101470783
1572924754203327620,149,1572924754100276947,,0.00517846178263,0.000972593319602,0.00375739880838
1572924754259004191,150,1572924754205586910,,0.00520340027288,0.000955407682341,0.00360273360275
1572924754313083886,151,1572924754259648084,,0.00528865959495,0.000982054974884,0.00359838316217
1572924754367204570,152,1572924754313705921,,0.00511485338211,0.00100313476287,0.00370687129907
1572924754471237591,153,1572924754367301940,,0.00512249162421,0.000864296569489,0.0033800099045
1572924754525359586,154,1572924754471631050,,0.00529649201781,0.00104312680196,0.00383843109012
1572924754579241089,155,1572924754525620937,,0.00532739516348,0.000919374171644,0.00355676747859
1572924754634072471,156,1572924754579946041,,0.00536539033055,0.000902350177057,0.00351643655449
1572924754739482269,157,1572924754634701967,,0.00530111417174,0.000971899367869,0.00367361912504
1572924754793700325,158,1572924754740122079,,0.00526809785515,0.000934668176342,0.00367640214972
1572924754847841565,159,1572924754794003963,,0.00546188466251,0.000943972903769,0.00379691552371
1572924754952099353,160,1572924754848565101,,0.00513859093189,0.000898716330994,0.00363857927732
1572924755055539036,161,1572924754952301979,,0.00535207055509,0.000865426845849,0.00365000683814
1572924755109107109,162,1572924755055824995,,0.00528933433816,0.000919544021599,0.00359946792014
1572924755164355693,163,1572924755109669923,,0.00510680954903,0.000830039614812,0.00356323155575
1572924755217426379,164,1572924755164941072,,0.00523096695542,0.000856096332427,0.00358365639113
1572924755269307282,165,1572924755217351913,,0.00542226573452,0.00095633987803,0.00364136206917
1572924755324288800,166,1572924755269494056,,0.00549258291721,0.00106259889435,0.00378772639669
1572924755378027042,167,1572924755324544906,,0.00522783771157,0.000984348822385,0.00363139528781
1572924755432344717,168,1572924755378655910,,0.00500463275239,0.000896035402548,0.00350706023164
1572924755535826123,169,1572924755432646989,,0.00525043578818,0.000976020819508,0.003580306191
1572924755589352923,170,1572924755535983085,,0.00529848877341,0.000929428904783,0.00355312763713
1572924755643043595,171,1572924755589713096,,0.00509488675743,0.000967104220763,0.00361057696864
1572924755698535435,172,1572924755643728017,,0.00525397108868,0.000994478352368,0.00365392258391
1572924755803479117,173,1572924755699055910,,0.00526778399944,0.000913008465432,0.00353799387813
1572924755857375280,174,1572924755803781986,,0.00549908261746,0.000995989539661,0.0037808783818
1572924755910667328,175,1572924755857969045,,0.00538663892075,0.000978677067906,0.00371347879991
1572924755964356314,176,1572924755911123991,,0.00524447485805,0.000927846936975,0.00354171800427
1572924756068337482,177,1572924755964903116,,0.00544027192518,0.000941710430197,0.00381382904015
1572924756121099030,178,1572924756068595886,,0.00531720882282,0.000937843637075,0.00372191960923
1572924756174112674,179,1572924756121694087,,0.00533247413114,0.000874602934346,0.00379716255702
1572924756227603703,180,1572924756174513101,,0.0051805973053,0.000838726817165,0.00363689893857
1572924756331210595,181,1572924756228128910,,0.00539880059659,0.000955553783569,0.00362744205631
1572924756386148546,182,1572924756332616090,,0.00516391219571,0.000911604380235,0.00354432803579
1572924756439784076,183,1572924756386532068,,0.00534685608,0.00095891172532,0.0036977508571
1572924756543862113,184,1572924756440691947,,0.00532304355875,0.000987989245914,0.00369170075282
1572924756647582645,185,1572924756544425010,,0.00536582991481,0.00106729625259,0.00366189004853
1572924756702155824,186,1572924756648154020,,0.00537706678733,0.000987828942016,0.00361975608394
1572924756756459605,187,1572924756702687025,,0.00542043661699,0.000998344621621,0.00380213838071
1572924756810229244,188,1572924756756647109,,0.0052355080843,0.00100083183497,0.00372054707259
1572924756864167125,189,1572924756810933113,,0.00525864260271,0.000964301463682,0.00361193134449
1572924756918357721,190,1572924756864681959,,0.0052677015774,0.000906559696887,0.00368872121908
1572924756972082434,191,1572924756918661117,,0.00530153652653,0.000968935783021,0.00364920287393
1572924757025815512,192,1572924756972311019,,0.00528131937608,0.00107306230348,0.0036991906818
1572924757080820391,193,1572924757026083946,,0.0051447506994,0.000955211056862,0.00340501917526
1572924757135408592,194,1572924757081311941,,0.00540124997497,0.000978075317107,0.00368913286366
1572924757188318798,195,1572924757135766983,,0.00563581846654,0.00102305517066,0.00389941199683
1572924757240633528,196,1572924757188684940,,0.00525931594893,0.00104304391425,0.00361495255493
1572924757294129400,197,1572924757240902900,,0.00520995026454,0.000972292968072,0.00369755621068
1572924757347851286,198,1572924757294576883,,0.00534972501919,0.000935067539103,0.00364128430374
1572924757401128304,199,1572924757348220109,,0.00528484629467,0.000884936831426,0.00368853798136
1572924757454452723,200,1572924757401325941,,0.00517804687843,0.000921735190786,0.00376582890749
1572924757508827358,201,1572924757455152034,,0.00533838756382,0.00102019158658,0.00365382060409
1572924757562409256,202,1572924757509152889,,0.00539446622133,0.00102336728014,0.00355458981358
1572924757618570700,203,1572924757563846111,,0.00523666292429,0.0009225080139,0.00352231040597
1572924757674215296,204,1572924757619762897,,0.00542652048171,0.00103792757727,0.00370224681683
1572924757726429921,205,1572924757673352003,,0.00541114667431,0.00110143562779,0.0036887594033
1572924757780697696,206,1572924757727252006,,0.00535003608093,0.00101825373713,0.00362183852121
1572924757833250518,207,1572924757780910015,,0.00552710518241,0.00106610322837,0.00368498708121
1572924757886509559,208,1572924757833586931,,0.00513732200488,0.00101022480521,0.0035222733859
1572924757939368664,209,1572924757887096881,,0.00525038875639,0.00100477004889,0.00370733067393
1572924757991597685,210,1572924757939543962,,0.00538043119013,0.000948776782025,0.00362703879364
1572924758043168675,211,1572924757991796970,,0.00532715534791,0.00093829294201,0.00357481697574
1572924758098156898,212,1572924758042900085,,0.00524336285889,0.000995189417154,0.00358398095705
1572924758148961760,213,1572924758097079992,,0.00513069750741,0.000892215291969,0.00347099872306
1572924758201031043,214,1572924758148570060,,0.0054669380188,0.00100535596721,0.00375357759185
1572924758253399824,215,1572924758200769901,,0.00570895103738,0.00108437414747,0.00377743714489
1572924758357044610,216,1572924758253460884,,0.00517855491489,0.000985561637208,0.00368339056149
1572924758409526399,217,1572924758357640981,,0.00563664222136,0.00102803087793,0.00371024990454
1572924758461196450,218,1572924758409713983,,0.00545302173123,0.00101664476097,0.00386256002821
1572924758514617217,219,1572924758461250066,,0.00518922461197,0.000897888792679,0.00367827387527
1572924758617395276,220,1572924758515126943,,0.00554782059044,0.00100328132976,0.00376045680605
1572924758671829453,221,1572924758616961002,,0.00541547546163,0.000947650521994,0.00372484605759
1572924758722689154,222,1572924758671000003,,0.00533101800829,0.00100460543763,0.00362421013415
1572924758775928044,223,1572924758722898006,,0.00506875291467,0.000928199791815,0.00358235719614
1572924758830258414,224,1572924758775391101,,0.00529289012775,0.001033550594,0.003596768016
1572924758930690491,225,1572924758829510927,,0.00534610264003,0.00104266614653,0.00366531847976
1572924758984356798,226,1572924758930860996,,0.00532377557829,0.00097383139655,0.00353996432386
1572924759037756585,227,1572924758984571933,,0.00520346174017,0.000938036828302,0.0034890731331
1572924759091768762,228,1572924759038258075,,0.00536430394277,0.00097976916004,0.00375455408357
1572924759194022914,229,1572924759092401027,,0.00528205418959,0.00104299501982,0.00353191280738
1572924759246182917,230,1572924759194053888,,0.00532346125692,0.000986153492704,0.00367984361947
1572924759299243023,231,1572924759246149063,,0.0054639945738,0.00113474216778,0.00365624320693
1572924759353515673,232,1572924759300034046,,0.00541297439486,0.00100837007631,0.00352661171928
1572924759406386375,233,1572924759354274988,,0.00528828985989,0.000950568937697,0.00365676148795
1572924759458300607,234,1572924759406450033,,0.00555472727865,0.00105513934977,0.00389971607365
1572924759512175688,235,1572924759458425045,,0.00537846237421,0.00103716424201,0.00365468813106
1572924759565112485,236,1572924759512377977,,0.00540214264765,0.00101695279591,0.00379865756258
1572924759619661036,237,1572924759565520048,,0.00534170214087,0.000993481604382,0.00376014481299
1572924759672461820,238,1572924759619041919,,0.00523265544325,0.000976476003416,0.00349575770088
1572924759727507838,239,1572924759672816038,,0.00547631597146,0.000946969317738,0.00357105978765
1572924759781725164,240,1572924759728579044,,0.00517047150061,0.000987014500424,0.00360119272955
1572924759834955329,241,1572924759781866073,,0.0052549620159,0.000929935660679,0.00337468436919
1572924759939360792,242,1572924759836206912,,0.00240790029056,0.000497288943734,0.00182464264799
1572924759992482431,243,1572924759938666105,,0.000147314494825,-0.000105246952444,0.000111309745989
1572924760045429136,244,1572924759992517948,,6.09456583334e-05,-0.000147887665662,-6.8743036536e-05
1572924760100059244,245,1572924760045002937,,9.55628638621e-05,3.55389165634e-05,-6.2694330154e-06
1572924760151958776,246,1572924760100246906,,-0.00011207996431,6.46473272354e-05,9.36165743042e-05
1572924760205421364,247,1572924760152129888,,-8.91718809726e-05,-1.03068869066e-05,-6.53385504847e-05
1572924760257608800,248,1572924760205810070,,5.0344671763e-05,-3.76476418751e-05,6.22931565886e-06
1572924760309630241,249,1572924760257566928,,-3.67874818039e-05,-6.80032235323e-06,-5.15907740919e-05
1572924760361899126,250,1572924760309787988,,-7.37303780625e-05,-1.32830314215e-06,-5.20116009284e-05
1572924760465344715,251,1572924760361984014,,2.48827855103e-05,7.17974471627e-05,5.12164806423e-05
1572924760518173688,252,1572924760465413093,,-0.000150095962454,-7.47906597098e-05,-0.000116302740935
