%time,field.header.stamp,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,field.minor_axis_average
1.63093906248712E+018,1.63093906245785E+018,75.174446106,55.8936882019,-0.339591115713,401.32623291,239.755722046,57.668094635
1.6309390625041E+018,1.63093906248975E+018,82.715637207,49.9675254822,-0.454869657755,400.844146729,241.719818115,57.668094635
1.63093906254213E+018,1.63093906252481E+018,13.2452640533,9.96599578857,0.187735021114,430.357971191,235.468582153,57.668094635
1.63093906257112E+018,1.63093906255689E+018,0,0,0,0,0,57.668094635
1.63093906260435E+018,1.63093906258902E+018,224.177902222,182.403869629,0.211747273803,388.331817627,219.75088501,63.7484550476
1.63093906263873E+018,1.63093906262436E+018,111.832572937,67.6315917969,-0.557606101036,383.041625977,238.912857056,63.4506874084
1.63093906267177E+018,1.63093906265643E+018,76.2806930542,65.0282821655,-0.701024055481,389.338500977,244.762008667,63.9668998718
1.63093906270353E+018,1.63093906268819E+018,94.1633834839,61.8849983215,-0.0831823721528,400.364471436,235.638442993,64.2814407349
1.63093906273292E+018,1.63093906271861E+018,77.3802719116,55.7458953857,-0.0923689454794,386.241638184,246.620727539,63.8849601746
1.63093906276499E+018,1.63093906275065E+018,76.9733810425,48.9510345459,0.360377639532,403.805267334,245.724472046,63.8849601746
1.63093906279901E+018,1.630939062783E+018,79.9596176147,58.3461418152,0.399652451277,402.561004639,249.869674683,63.7831115723
1.6309390628335E+018,1.63093906281923E+018,78.411315918,53.3398666382,0.207252383232,404.249725342,243.433654785,63.6951141357
1.63093906287261E+018,1.6309390628576E+018,61.4514732361,47.9535903931,0.0944150537252,398.777526855,238.617950439,63.6951141357
1.63093906289975E+018,1.63093906288301E+018,61.1336593628,44.4009284973,0.0232066530734,401.480316162,241.208267212,63.6951141357
1.63093906293924E+018,1.63093906292495E+018,71.2899703979,50.8358535767,0.103511348367,397.911987305,240.218566895,63.3463439941
1.63093906297081E+018,1.63093906295691E+018,71.4654464722,57.0220718384,0.27773308754,400.666381836,241.311553955,63.5486946106
1.63093906300349E+018,1.63093906298886E+018,55.6658477783,43.4038238525,0.464618951082,396.381134033,240.185348511,63.5486946106
1.63093906303973E+018,1.6309390630252E+018,65.7939147949,51.8118858337,-0.502348005772,399.152404785,240.900772095,63.5298919678
1.63093906307114E+018,1.63093906305663E+018,56.6620254517,46.9129867554,0.13113924861,394.129364014,243.53338623,63.5298919678
1.63093906310401E+018,1.63093906308915E+018,68.5743484497,51.9196128845,-0.15177102387,391.533325195,240.054733276,63.3206977844
