%time,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.63093906245412E+018,1.63093906240268E+018,0.0110999997705,0.000579999992624,-0.011040000245,3.00E-05
1.63093906250679E+018,1.63093906245433E+018,0.00879999995232,8.00E-05,-0.00882999971509,-0.000110000000859
1.63093906255822E+018,1.63093906250653E+018,0.00710000004619,0.000850000011269,-0.00700000021607,0.000110000000859
1.63093906261029E+018,1.63093906255835E+018,0.00230000005104,0.000469999999041,-0.00224999990314,-0.000260000000708
1.63093906266275E+018,1.63093906261034E+018,0.00400000018999,-0.000910000002477,0.00384999997914,-0.000260000000708
1.6309390627159E+018,1.63093906266256E+018,0.00980000011623,-0.000679999997374,0.00973000004888,-0.000429999985499
1.63093906276832E+018,1.6309390627156E+018,0.0111999996006,5.00E-05,0.0112300002947,-0.000319999991916
1.6309390628214E+018,1.63093906276804E+018,0.0119000002742,-0.00054999999702,0.0119000002742,-6.00E-05
1.63093906287302E+018,1.63093906282076E+018,0.0111999996006,-0.000220000001718,0.0111699998379,8.00E-05
1.63093906292476E+018,1.63093906287312E+018,0.0108000002801,-0.000440000003437,0.0107599999756,1.00E-05
1.63093906302683E+018,1.63093906292457E+018,0.0104999998584,-0.000280000007479,0.0104499999434,-0.000209999998333
1.6309390630795E+018,1.63093906302703E+018,0.0113000003621,-0.00109999999404,0.0111899999902,0.00054999999702
1.63093906313321E+018,1.63093906307917E+018,0.0109000001103,-0.000880000006873,0.0108200004324,0.000159999995958
1.63093906318621E+018,1.63093906313333E+018,0.0105999996886,-0.000820000015665,0.0106100002304,1.00E-04
1.63093906328868E+018,1.63093906318649E+018,0.0100999996066,-0.000539999979082,0.0100800003856,5.00E-05
1.63093906334154E+018,1.6309390632888E+018,0.0109000001103,-0.000859999970999,0.0108399996534,3.00E-05
1.63093906339345E+018,1.63093906334113E+018,0.0100999996066,-0.00065000000177,0.0100800003856,2.00E-05
1.63093906349532E+018,1.63093906339317E+018,0.0063000000082,-0.000269999989541,0.00631000008434,5.00E-05
1.63093906359847E+018,1.63093906349545E+018,0.00260000000708,0.000720000010915,-0.00252999993972,0.000220000001718
1.63093906365047E+018,1.6309390635986E+018,0.0103000001982,0.000569999974687,-0.0103000001982,0.000360000005458
1.63093906370263E+018,1.63093906365025E+018,0.0114000001922,0.000410000007832,-0.0113899996504,0.000159999995958
1.6309390637576E+018,1.63093906370242E+018,0.0103000001982,0.000150000007125,-0.0103399995714,-1.00E-05
1.63093906380917E+018,1.63093906375741E+018,0.0110999997705,0.000369999994291,-0.0111199999228,-1.00E-05
1.63093906386355E+018,1.63093906380893E+018,0.0102000003681,0.000530000019353,-0.0101899998263,-7.00E-05
1.630939063916E+018,1.6309390638633E+018,0.0114000001922,0.000829999975394,-0.0113700004295,-0.00034999998752
1.6309390639671E+018,1.63093906391553E+018,0.0111999996006,0.000959999975748,-0.0111100003123,-0.000490000005811
1.63093906401902E+018,1.63093906396729E+018,0.0104999998584,0.000709999992978,-0.010490000248,-0.000180000002729
1.63093906407187E+018,1.63093906401912E+018,0.0105999996886,0.000720000010915,-0.0105299996212,-0.000169999999343
1.63093906412692E+018,1.63093906407154E+018,0.0109000001103,0.000369999994291,-0.0108899995685,-7.00E-05
1.63093906417917E+018,1.63093906412691E+018,0.01070000045,0.000950000016019,-0.0106899999082,-2.00E-05
1.63093906423176E+018,1.63093906417926E+018,0.0109999999404,0.000609999988228,-0.0109799997881,-0.000130000000354
1.63093906428415E+018,1.63093906423202E+018,0.0102000003681,0.000310000003083,-0.0101899998263,8.00E-05
1.63093906433637E+018,1.63093906428425E+018,0.0093999998644,0.000380000012228,-0.00939000025392,-0.000180000002729
1.63093906438936E+018,1.63093906433652E+018,0.00639999983832,-0.000169999999343,-0.0064400001429,0.000330000009853
1.63093906444052E+018,1.63093906438912E+018,0.00340000004508,-0.00150999997277,-0.00304999994114,-0.000390000001062
1.63093906449215E+018,1.6309390644406E+018,0.00460000010207,-0.0010000000475,0.00453000003472,-0.000289999996312
1.63093906454449E+018,1.63093906449223E+018,0.0104000000283,-0.000300000014249,0.0104099996388,-0.000399999989895
1.63093906459931E+018,1.63093906454464E+018,0.0119000002742,-0.000300000014249,0.0118800001219,-0.000390000001062
1.63093906465184E+018,1.63093906459896E+018,0.0110999997705,-0.000199999994948,0.0111300004646,3.00E-05
1.63093906470359E+018,1.63093906465198E+018,0.0111999996006,0.000140000003739,0.0112100001425,9.00E-05
1.6309390647553E+018,1.63093906470359E+018,0.0105999996886,-0.000780000002123,0.0105299996212,4.00E-05
1.63093906480773E+018,1.63093906475531E+018,0.0111999996006,-0.000260000000708,0.0112199997529,-4.00E-05
1.63093906486042E+018,1.63093906480784E+018,0.0109000001103,-0.00110999995377,0.0108500001952,0.000500000023749
1.63093906491289E+018,1.63093906486064E+018,0.0104999998584,-0.00109000003431,0.0104700000957,0.000380000012228
1.63093906496738E+018,1.63093906491309E+018,0.0113000003621,-0.000560000014957,0.0113300001249,0.000209999998333
1.63093906501892E+018,1.63093906496746E+018,0.0105999996886,-0.000769999984186,0.0105999996886,3.00E-05
1.63093906507038E+018,1.63093906501898E+018,0.01070000045,-0.000730000028852,0.010719999671,9.00E-05
1.63093906512256E+018,1.63093906507046E+018,0.00989999994636,-0.000620000006165,0.00985000003129,5.00E-05
1.63093906517502E+018,1.63093906512241E+018,0.0109999999404,-0.000539999979082,0.0109599996358,-3.00E-05
1.63093906522653E+018,1.63093906517467E+018,0.0104999998584,-0.000809999997728,0.0104599995539,-7.00E-05
