field.header.stamp,time,field.value,,field.major_axis,field.minor_axis,field.orientation,field.x,field.y
1.59162266357953E+018,0,2,,61.9205131531,50.781085968,0.746225476265,393.473205566,241.078918457
1.59162266361195E+018,0.032414976,2,,78.5497894287,58.9132537842,0.111794441938,389.967834473,245.051528931
1.59162266364168E+018,0.062142208,2,,76.4648895264,55.3127250671,0.072891920805,392.892669678,244.993682861
1.59162266368699E+018,0.107461376,2,,78.4720916748,50.7240447998,0.186940059066,388.330841064,242.053421021
1.59162266371985E+018,0.14031744,2,,81.351852417,58.5430335999,0.149325579405,387.683776855,246.679962158
1.59162266375094E+018,0.171401984,2,,78.8372192383,59.5708084106,0.0693208873272,390.946929932,244.439147949
1.59162266378571E+018,0.20617856,2,,62.6989517212,48.620136261,0.865061581135,390.791687012,242.488723755
1.59162266380755E+018,0.228019968,2,,81.4201278687,55.6782989502,0.187454044819,389.118469238,244.040649414
1.59162266384073E+018,0.261196288,2,,63.8025627136,47.1414527893,0.606917917728,391.180389404,244.770736694
1.59162266387346E+018,0.293927424,2,,59.0861320496,48.2220230103,0.758234739304,389.985595703,244.238418579
1.59162266390881E+018,0.329276672,2,,65.315322876,46.7163467407,0.735063374043,389.168640137,243.130554199
1.59162266394445E+018,0.364916992,2,,77.8982849121,56.0146980286,0.122280240059,388.380493164,240.471557617
1.59162266397603E+018,0.3964928,2,,78.5621185303,60.3098602295,0.272773206234,388.490692139,243.738296509
1.59162266400894E+018,0.429403392,2,,81.6938705444,60.8288650513,0.236827731133,393.88381958,241.690124512
1.5916226640448E+018,0.465264896,2,,82.0751571655,52.2364959717,0.339524537325,381.967987061,241.000869751
1.5916226640717E+018,0.492166144,2,,81.6154022217,53.6302337646,0.161511003971,386.734954834,244.989578247
1.59162266411029E+018,0.53075584,2,,83.084815979,55.8043327332,0.250461518764,388.396697998,245.671844482
1.59162266414745E+018,0.567913984,2,,66.9871826172,48.5045471191,0.811323523521,391.882080078,244.539413452
1.59162266418465E+018,0.605116672,2,,78.9576797485,52.1081047058,0.205907359719,389.285766602,243.560317993
1.59162266421832E+018,0.638787584,2,,80.7512664795,52.3868560791,0.19608309865,392.359008789,241.676651001
1.59162266424712E+018,0.667587328,2,,78.9091262817,51.8646278381,0.310049593449,388.060760498,241.955413818
1.59162266427631E+018,0.696772608,2,,79.6287841797,58.1465454102,0.185262128711,390.085540771,245.115631104
