%time,field.header.seq,field.header.stamp,field.header.frame_id,field.X,field.Y,field.Z,field.A,field.B,field.C
1638888343838782615,69,0,,1171.53234863,-1929.9230957,1230.25976562,0.00910000037402,-0.516399979591,179.278396606
1638888343842679123,70,0,,1171.53234863,-1929.9230957,1230.25939941,0.00910000037402,-0.516399979591,179.278305054
1638888343846616035,71,0,,1171.53259277,-1929.92358398,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888343851703196,72,0,,1171.53259277,-1929.92321777,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343854724825,73,0,,1171.53259277,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343858604219,74,0,,1171.53222656,-1929.92297363,1230.25939941,0.00910000037402,-0.516399979591,179.278396606
1638888343862663482,75,0,,1171.5324707,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343866651386,76,0,,1171.53234863,-1929.92333984,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343870576735,77,0,,1171.5324707,-1929.92321777,1230.25976562,0.00899999961257,-0.516399979591,179.278396606
1638888343874643062,78,0,,1171.53234863,-1929.92321777,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343878658809,79,0,,1171.53222656,-1929.92333984,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343882651772,80,0,,1171.53234863,-1929.9230957,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888343886788609,81,0,,1171.53210449,-1929.92297363,1230.25976562,0.00910000037402,-0.516399979591,179.278396606
1638888343890742385,82,0,,1171.53259277,-1929.92321777,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888343894649474,83,0,,1171.53283691,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343898647480,84,0,,1171.53259277,-1929.92358398,1230.26000977,0.00899999961257,-0.516399979591,179.278305054
1638888343902583273,85,0,,1171.53222656,-1929.9230957,1230.25939941,0.00910000037402,-0.516399979591,179.278305054
1638888343906570356,86,0,,1171.53222656,-1929.92346191,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343910631072,87,0,,1171.53234863,-1929.92321777,1230.25964355,0.00899999961257,-0.516399979591,179.278305054
1638888343914706883,88,0,,1171.53271484,-1929.92346191,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343918831953,89,0,,1171.53283691,-1929.92333984,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888343922712891,90,0,,1171.53271484,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343926706272,91,0,,1171.53259277,-1929.92321777,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343930613762,92,0,,1171.5324707,-1929.92333984,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888343934616571,93,0,,1171.53259277,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343938713726,94,0,,1171.5324707,-1929.9230957,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343942654482,95,0,,1171.5324707,-1929.92321777,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343946805346,96,0,,1171.53234863,-1929.92333984,1230.26013184,0.00910000037402,-0.516399979591,179.278305054
1638888343952346840,97,0,,1171.53210449,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343954727496,98,0,,1171.53222656,-1929.92333984,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888343958723938,99,0,,1171.5324707,-1929.92346191,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888343962676066,100,0,,1171.5324707,-1929.92285156,1230.25939941,0.00910000037402,-0.516399979591,179.278396606
1638888343966653671,101,0,,1171.53234863,-1929.92333984,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888343970617546,102,0,,1171.53259277,-1929.92346191,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888343974711739,103,0,,1171.5324707,-1929.92321777,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888343978683601,104,0,,1171.53222656,-1929.92321777,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888343982660389,105,0,,1171.53271484,-1929.9230957,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888343986635834,106,0,,1171.53222656,-1929.92346191,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888343990709505,107,0,,1171.5324707,-1929.92285156,1230.25976562,0.00910000037402,-0.516399979591,179.278396606
1638888343994756842,108,0,,1171.53234863,-1929.92321777,1230.2598877,0.00899999961257,-0.516399979591,179.278305054
1638888343998687930,109,0,,1171.53271484,-1929.92297363,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888344002696189,110,0,,1171.5324707,-1929.9230957,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888344006695992,111,0,,1171.53259277,-1929.92321777,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888344010690107,112,0,,1171.53210449,-1929.92333984,1230.25964355,0.00899999961257,-0.516399979591,179.278305054
1638888344014625510,113,0,,1171.53234863,-1929.9230957,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888344018677313,114,0,,1171.53210449,-1929.92346191,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888344022662940,115,0,,1171.53295898,-1929.92297363,1230.25939941,0.00910000037402,-0.516399979591,179.278396606
1638888344026614080,116,0,,1171.5324707,-1929.9230957,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888344030706585,117,0,,1171.53210449,-1929.92321777,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888344034729532,118,0,,1171.53271484,-1929.92321777,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888344038700714,119,0,,1171.53198242,-1929.9230957,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888344042764956,120,0,,1171.53210449,-1929.92321777,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888344046714820,121,0,,1171.53222656,-1929.92333984,1230.25964355,0.00910000037402,-0.516399979591,179.278305054
1638888344050643418,122,0,,1171.53271484,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054
1638888344054666625,123,0,,1171.53234863,-1929.92333984,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888344058674858,124,0,,1171.53259277,-1929.92285156,1230.25964355,0.00910000037402,-0.516399979591,179.278396606
1638888344062634279,125,0,,1171.53234863,-1929.92333984,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888344066754664,126,0,,1171.53259277,-1929.92297363,1230.25976562,0.00910000037402,-0.516399979591,179.278305054
1638888344070693299,127,0,,1171.53271484,-1929.92333984,1230.26000977,0.00910000037402,-0.516399979591,179.278305054
1638888344074651384,128,0,,1171.53283691,-1929.92321777,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888344078654887,129,0,,1171.53210449,-1929.92346191,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
1638888344082598318,130,0,,1171.5324707,-1929.9230957,1230.2598877,0.00910000037402,-0.516399979591,179.278305054
