%time,time,field.X,field.Y,field.Z,field.A,field.B,field.C,%time,field.Vx,field.Vy,field.Vz,field.Speed
1.63888834383878E+018,0,1171.53234863,-1929.9230957,1230.25976562,0.00910000037402,-0.516399979591,179.278396606,1.63888834383878E+018,-0.103047825396,0.103047825396,-0.051523912698,0.154571726918
1.63888834384268E+018,0.00389632,1171.53234863,-1929.9230957,1230.25939941,0.00910000037402,-0.516399979591,179.278305054,1.63888834384269E+018,0,0,-0.096089437604,0.096089437604
1.63888834384662E+018,0.007833344,1171.53259277,-1929.92358398,1230.26000977,0.00910000037402,-0.516399979591,179.278305054,1.63888834384663E+018,0.0767437890172,-0.127906322479,0.153487578034,0.214028209448
1.6388883438517E+018,0.01292032,1171.53259277,-1929.92321777,1230.25976562,0.00910000037402,-0.516399979591,179.278305054,1.63888834385172E+018,0,0.100126616657,-0.0500633083284,0.111944958568
1.63888834385472E+018,0.015942144,1171.53259277,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834385474E+018,0,0.0249720402062,-0.0749161243439,0.0789685249329
1.6388883438586E+018,0.019821312,1171.53222656,-1929.92297363,1230.25939941,0.00910000037402,-0.516399979591,179.278396606,1.63888834385861E+018,-0.0999119579792,0.0249779894948,-0.0249779894948,0.105972632766
1.63888834386266E+018,0.023880704,1171.5324707,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834386268E+018,0.0763479918242,-0.0254493299872,0.0254493299872,0.0844058766961
1.63888834386665E+018,0.027868416,1171.53234863,-1929.92333984,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834386667E+018,-0.0491654425859,-0.0491654425859,0,0.0695304349065
1.63888834387058E+018,0.03179392,1171.5324707,-1929.92321777,1230.25976562,0.00899999961257,-0.516399979591,179.278396606,1.63888834387059E+018,0.0502402111888,0.0251201055944,0.0753603130579,0.0939908251166
1.63888834387464E+018,0.035860224,1171.53234863,-1929.92321777,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834387465E+018,-0.0506711453199,0,-0.0760067179799,0.0913487076759
1.63888834387866E+018,0.039876096,1171.53222656,-1929.92333984,1230.25976562,0.00910000037402,-0.516399979591,179.278305054,1.63888834387866E+018,-0.0247539188713,-0.0247539188713,0.0742617547512,0.0820994600654
1.63888834388265E+018,0.043868928,1171.53234863,-1929.9230957,1230.25964355,0.00910000037402,-0.516399979591,179.278305054,1.63888834388267E+018,0.0250451061875,0.0500902123749,-0.0500902123749,0.075135320425
1.63888834388679E+018,0.048005888,1171.53210449,-1929.92297363,1230.25976562,0.00910000037402,-0.516399979591,179.278396606,1.63888834388686E+018,-0.0499857477844,0.0249928738922,0.0499857477844,0.0749786198139
1.63888834389074E+018,0.051959552,1171.53259277,-1929.92321777,1230.25964355,0.00910000037402,-0.516399979591,179.278305054,1.63888834389075E+018,0.122504353523,-0.0490017421544,-0.0490017421544,0.14074678719
1.63888834389465E+018,0.055866624,1171.53283691,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834389467E+018,0.0499321892858,0.0249660946429,-0.0249660946429,0.0611541941762
1.63888834389865E+018,0.059864576,1171.53259277,-1929.92358398,1230.26000977,0.00899999961257,-0.516399979591,179.278305054,1.63888834389867E+018,-0.0513850413263,-0.128462597728,0.128462597728,0.188800692558
1.63888834390258E+018,0.06380032,1171.53222656,-1929.9230957,1230.25939941,0.00910000037402,-0.516399979591,179.278305054,1.63888834390261E+018,-0.0985793322325,0.123224161565,-0.147868990898,0.216257527471
1.63888834390657E+018,0.06778752,1171.53222656,-1929.92346191,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834390658E+018,0,-0.101661615074,0.0254154037684,0.104790389538
1.63888834391063E+018,0.071848192,1171.53234863,-1929.92321777,1230.25964355,0.00899999961257,-0.516399979591,179.278305054,1.63888834391068E+018,0.0252061542124,0.0756184607744,0.0252061542124,0.0835993513465
1.63888834391471E+018,0.075924224,1171.53271484,-1929.92346191,1230.25976562,0.00910000037402,-0.516399979591,179.278305054,1.63888834391473E+018,0.0980664938688,-0.0735498741269,0.0490332469344,0.132026061416
1.63888834391883E+018,0.080049408,1171.53283691,-1929.92333984,1230.26000977,0.00910000037402,-0.516399979591,179.278305054,1.63888834391883E+018,0.0247232764959,0.0494465529919,0.0494465529919,0.0741698294878
1.63888834392271E+018,0.083930368,1171.53271484,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834392272E+018,-0.0247948914766,0.0495897829533,-0.123974464834,0.135807216167
1.63888834392671E+018,0.087923456,1171.53259277,-1929.92321777,1230.25976562,0.00910000037402,-0.516399979591,179.278305054,1.63888834392673E+018,-0.025254720822,-0.025254720822,0.0757641643286,0.083760432899
1.63888834393061E+018,0.09183104,1171.5324707,-1929.92333984,1230.2598877,0.00910000037402,-0.516399979591,179.278305054,1.63888834393062E+018,-0.0248507168144,-0.0248507168144,0.0248507168144,0.043042704463
1.63888834393462E+018,0.0958336,1171.53259277,-1929.9230957,1230.25952148,0.00910000037402,-0.516399979591,179.278305054,1.63888834393463E+018,0.0256125070155,0.0512250140309,-0.102450028062,0.117371246219
1.63888834393871E+018,0.09993088,1171.5324707,-1929.9230957,1230.25976562,0.00910000037402,-0.516399979591,179.278305054,1.63888834393871E+018,-0.0247978251427,0,0.0743934735656,0.0784176066518
