%time,field.header.seq,field.header.stamp,field.header.frame_id,field.linear_x,field.linear_y,field.linear_z
1573009183283595072,1301,1573009183230581998,,-4.61037197965e-05,-0.000100560973806,-0.000129821142764
1573009183336967672,1302,1573009183283853054,,-9.59828639679e-07,1.6352867533e-05,1.183630593e-05
1573009183391200552,1303,1573009183337846040,,-2.0998502805e-05,8.34627498989e-05,7.28047525627e-05
1573009183494649768,1304,1573009183391400098,,6.05675122642e-05,-2.60578308371e-05,-2.7335683626e-05
1573009183548930183,1305,1573009183495395898,,-1.23429872474e-05,1.88138728845e-05,5.40928522241e-05
1573009183603532011,1306,1573009183549587011,,-9.0914509201e-06,9.77108502411e-05,0.000123754769447
1573009183707197276,1307,1573009183603862047,,-8.82755994098e-05,-7.15765781933e-06,-4.89761296194e-05
1573009183763234483,1308,1573009183709027051,,7.67210221966e-05,-4.4306525524e-05,-8.12285506981e-05
1573009183816231847,1309,1573009183763686895,,-9.24783453229e-05,4.26492988481e-06,-5.71336968278e-05
1573009183870063550,1310,1573009183816739082,,-2.43602494265e-06,5.53212885279e-06,7.99688223196e-06
1573009183923274112,1311,1573009183870373010,,0.00826677586883,0.000238724111114,-0.000310369214276
1573009183976022574,1312,1573009183923760890,,-3.92227193515e-05,4.48418577434e-05,4.79090413137e-05
1573009184029511995,1313,1573009183976121902,,-1.54180343088e-05,5.78724029765e-05,9.03023028513e-05
1573009184083047034,1314,1573009184030347108,,-3.97810727009e-05,-1.23138606796e-05,-8.48622294143e-05
1573009184135165246,1315,1573009184082834959,,5.66108283238e-05,-5.1114053349e-05,-6.02568798058e-05
1573009184239461962,1316,1573009184135435104,,-2.83103508991e-05,2.27373366215e-05,1.38700715979e-05
1573009184293627757,1317,1573009184240092992,,6.9846653787e-05,4.04878883273e-05,0.000117326999316
1573009184347145978,1318,1573009184293823957,,3.83883889299e-05,-9.33651681407e-05,-9.94907823042e-05
1573009184401010071,1319,1573009184347642898,,-5.88124312344e-05,-2.66714741883e-05,-2.98886789096e-05
1573009184504806476,1320,1573009184401432037,,1.59474966495e-05,-1.05436492959e-05,7.09700861989e-06
1573009184559411242,1321,1573009184505413055,,-3.30715665768e-05,-2.28813041758e-05,-5.55643237021e-05
1573009184612693436,1322,1573009184559815883,,7.06369689851e-07,3.77746582672e-05,1.71242372744e-05
