%time,field.header.stamp,field.x,field.y,field.z
1.63093694670775E+018,1.63093694665577E+018,0.476288050413,-0.891462862492,1.36591506004
1.63093694675992E+018,1.63093694670787E+018,0.476298689842,-0.892516195774,1.36588215828
1.63093694681203E+018,1.63093694675963E+018,0.476299762726,-0.893502652645,1.36586296558
1.6309369468634E+018,1.63093694681183E+018,0.476302951574,-0.894485235214,1.3658554554
1.63093694691584E+018,1.63093694686378E+018,0.476292848587,-0.895445585251,1.36584746838
1.63093694696679E+018,1.63093694691555E+018,0.476273626089,-0.896110415459,1.3658413887
1.63093694701778E+018,1.63093694696663E+018,0.476286679506,-0.896475493908,1.36583447456
1.63093694706899E+018,1.63093694701787E+018,0.476210147142,-0.896396398544,1.36581242085
1.63093694712016E+018,1.6309369470691E+018,0.476226121187,-0.895658016205,1.36578595638
1.63093694717172E+018,1.63093694712043E+018,0.476226836443,-0.894634008408,1.36576426029
1.63093694727269E+018,1.63093694717156E+018,0.476252496243,-0.893570899963,1.3657554388
1.63093694732371E+018,1.63093694727256E+018,0.47625285387,-0.891671776772,1.36580812931
1.63093694737485E+018,1.63093694732382E+018,0.476245194674,-0.890644073486,1.36582589149
1.63093694742693E+018,1.63093694737506E+018,0.476230978966,-0.889621555805,1.36584281921
1.63093694747899E+018,1.63093694742708E+018,0.476266473532,-0.888698339462,1.36585187912
1.63093694753031E+018,1.6309369474792E+018,0.476298868656,-0.887876689434,1.36585628986
1.63093694758147E+018,1.6309369475304E+018,0.476246774197,-0.887431800365,1.36584460735
1.63093694763253E+018,1.63093694758153E+018,0.476311087608,-0.887436151505,1.36586308479
1.63093694768377E+018,1.63093694763266E+018,0.476388096809,-0.887863397598,1.36587524414
1.6309369477351E+018,1.63093694768395E+018,0.476341545582,-0.888848125935,1.36590790749
1.63093694783631E+018,1.63093694773524E+018,0.476303905249,-0.88986158371,1.36594200134
1.63093694788741E+018,1.63093694783638E+018,0.476284354925,-0.891783118248,1.36590600014
1.63093694793869E+018,1.63093694788758E+018,0.476318776608,-0.892823576927,1.36587095261
1.63093694798992E+018,1.63093694793883E+018,0.476324081421,-0.893777251244,1.36585736275
1.63093694804105E+018,1.63093694799001E+018,0.476329445839,-0.894728839397,1.36584460735
1.63093694814231E+018,1.63093694804119E+018,0.476346939802,-0.895703136921,1.3658438921
1.63093694819361E+018,1.63093694814245E+018,0.476331114769,-0.897075533867,1.36584413052
1.63093694824518E+018,1.63093694819373E+018,0.476300656796,-0.897272646427,1.36582517624
1.63093694829726E+018,1.63093694824508E+018,0.476267158985,-0.896840929985,1.3658015728
1.63093694834921E+018,1.63093694829726E+018,0.476278334856,-0.895794093609,1.36577117443
1.63093694840117E+018,1.63093694834926E+018,0.47631072998,-0.894750237465,1.36575162411
1.6309369484532E+018,1.63093694840131E+018,0.476347893476,-0.893739521503,1.36575341225
1.6309369485056E+018,1.63093694845326E+018,0.476352244616,-0.892737805843,1.36578762531
1.63093694855708E+018,1.63093694850533E+018,0.476333796978,-0.891732275486,1.36581909657
1.63093694860839E+018,1.63093694855722E+018,0.47632086277,-0.890709221363,1.36583554745
1.6309369486597E+018,1.63093694860852E+018,0.476324915886,-0.889775216579,1.36584937572
1.63093694871223E+018,1.6309369486599E+018,0.476347595453,-0.888801217079,1.36584842205
1.63093694876396E+018,1.63093694871194E+018,0.476367890835,-0.887872457504,1.36585175991
1.63093694881618E+018,1.63093694876407E+018,0.476385802031,-0.887323260307,1.36584711075
1.63093694891731E+018,1.63093694881617E+018,0.476378560066,-0.887198030949,1.36586034298
1.63093694896855E+018,1.63093694891751E+018,0.476417422295,-0.888556003571,1.36590206623
1.63093694901984E+018,1.63093694896866E+018,0.476381093264,-0.889546632767,1.36593711376
1.63093694907179E+018,1.63093694901987E+018,0.476349473,-0.890539765358,1.3659337759
1.63093694912395E+018,1.63093694907177E+018,0.476348251104,-0.89154535532,1.36589968204
1.6309369491755E+018,1.63093694912366E+018,0.47636833787,-0.892548263073,1.36587703228
1.63093694927779E+018,1.63093694917564E+018,0.476380705833,-0.893560826778,1.36586141586
1.63093694933036E+018,1.63093694927823E+018,0.476387888193,-0.895497918129,1.36584317684
1.630936949382E+018,1.63093694933005E+018,0.476397246122,-0.896437644958,1.36584198475
1.63093694943379E+018,1.6309369493819E+018,0.476364552975,-0.897317588329,1.36582779884
1.63093694953601E+018,1.63093694943389E+018,0.476382374763,-0.897870481014,1.3658541441
1.6309369495872E+018,1.63093694953573E+018,0.476177096367,-0.897679328918,1.36581671238
1.63093694963809E+018,1.630936949587E+018,0.476231068373,-0.896712064743,1.36578345299
1.63093694968939E+018,1.63093694963814E+018,0.47624540329,-0.895676910877,1.3657490015
1.63093694974057E+018,1.63093694968943E+018,0.476289629936,-0.894673228264,1.36574184895
1.6309369497918E+018,1.63093694974061E+018,0.476280301809,-0.893682599068,1.36578226089
1.63093694984287E+018,1.63093694979178E+018,0.476281732321,-0.892687559128,1.36581611633
1.63093694989405E+018,1.63093694984299E+018,0.476258903742,-0.89168292284,1.36582744122
1.63093694994574E+018,1.63093694989442E+018,0.476252555847,-0.890719473362,1.36584627628
1.63093694999681E+018,1.63093694994555E+018,0.476293772459,-0.88977599144,1.36585128307
1.63093695004794E+018,1.63093694999661E+018,0.476302027702,-0.888827562332,1.36584436893
1.63093695009908E+018,1.63093695004774E+018,0.476307362318,-0.887841045856,1.36584830284
1.63093695015007E+018,1.63093695009883E+018,0.476352989674,-0.887219548225,1.36584818363
1.6309369502009E+018,1.63093695014984E+018,0.47641146183,-0.887046813965,1.36584806442
