%time,field.header.seq,field.header.stamp,field.header.frame_id,field.x,field.y,field.z,field.R,field.P,field.Y
1635842850663168169,19279,0,,-1.91395771503,-0.0308519657701,0.518155813217,0.0,0.0,0.0
1635842850671058994,19280,0,,-1.91395771503,-0.0308519657701,0.518155813217,0.0,0.0,0.0
1635842850679080765,19281,0,,-1.91395771503,-0.0308519657701,0.518155813217,0.0,0.0,0.0
1635842850687164468,19282,0,,-1.91395771503,-0.0308519657701,0.518155813217,0.0,0.0,0.0
1635842850695036538,19283,0,,-1.91395771503,-0.0308519657701,0.518155813217,0.0,0.0,0.0
1635842850703142437,19284,0,,-1.91504669189,-0.0308570470661,0.518176555634,0.0,0.0,0.0
1635842850711161806,19285,0,,-1.91504669189,-0.0308570470661,0.518176555634,0.0,0.0,0.0
1635842850719101621,19286,0,,-1.91504669189,-0.0308570470661,0.518176555634,0.0,0.0,0.0
1635842850727055552,19287,0,,-1.91504669189,-0.0308570470661,0.518176555634,0.0,0.0,0.0
1635842850735097221,19288,0,,-1.91504669189,-0.0308570470661,0.518176555634,0.0,0.0,0.0
1635842850743133465,19289,0,,-1.91504669189,-0.0308570470661,0.518176555634,0.0,0.0,0.0
1635842850751169708,19290,0,,-1.916208148,-0.0308553706855,0.518201470375,0.0,0.0,0.0
1635842850759182132,19291,0,,-1.916208148,-0.0308553706855,0.518201470375,0.0,0.0,0.0
1635842850767189671,19292,0,,-1.916208148,-0.0308553706855,0.518201470375,0.0,0.0,0.0
1635842850775160670,19293,0,,-1.916208148,-0.0308553706855,0.518201470375,0.0,0.0,0.0
1635842850783227616,19294,0,,-1.916208148,-0.0308553706855,0.518201470375,0.0,0.0,0.0
1635842850791311844,19295,0,,-1.916208148,-0.0308553706855,0.518201470375,0.0,0.0,0.0
1635842850799291433,19296,0,,-1.91747391224,-0.0308470595628,0.518234729767,0.0,0.0,0.0
1635842850807248436,19297,0,,-1.91747391224,-0.0308470595628,0.518234729767,0.0,0.0,0.0
1635842850815171360,19298,0,,-1.91747391224,-0.0308470595628,0.518234729767,0.0,0.0,0.0
1635842850823244801,19299,0,,-1.91747391224,-0.0308470595628,0.518234729767,0.0,0.0,0.0
1635842850831175844,19300,0,,-1.91747391224,-0.0308470595628,0.518234729767,0.0,0.0,0.0
1635842850839259501,19301,0,,-1.91747391224,-0.0308470595628,0.518234729767,0.0,0.0,0.0
1635842850847087793,19302,0,,-1.91855251789,-0.0308333709836,0.518253624439,0.0,0.0,0.0
1635842850855111318,19303,0,,-1.91855251789,-0.0308333709836,0.518253624439,0.0,0.0,0.0
1635842850863079669,19304,0,,-1.91855251789,-0.0308333709836,0.518253624439,0.0,0.0,0.0
1635842850871068395,19305,0,,-1.91855251789,-0.0308333709836,0.518253624439,0.0,0.0,0.0
1635842850879051187,19306,0,,-1.91855251789,-0.0308333709836,0.518253624439,0.0,0.0,0.0
1635842850887048575,19307,0,,-1.91964972019,-0.0308223310858,0.518259823322,0.0,0.0,0.0
1635842850895344473,19308,0,,-1.91974437237,-0.0308220311999,0.518262207508,0.0,0.0,0.0
1635842850903481209,19309,0,,-1.91974437237,-0.0308220311999,0.518262207508,0.0,0.0,0.0
1635842850911455660,19310,0,,-1.91974437237,-0.0308220311999,0.518262207508,0.0,0.0,0.0
1635842850919477244,19311,0,,-1.91974437237,-0.0308220311999,0.518262207508,0.0,0.0,0.0
1635842850927323633,19312,0,,-1.91974437237,-0.0308220311999,0.518262207508,0.0,0.0,0.0
1635842850935290322,19313,0,,-1.9207406044,-0.0308084227145,0.518270254135,0.0,0.0,0.0
1635842850943139918,19314,0,,-1.9207406044,-0.0308084227145,0.518270254135,0.0,0.0,0.0
1635842850951129327,19315,0,,-1.9207406044,-0.0308084227145,0.518270254135,0.0,0.0,0.0
1635842850959028891,19316,0,,-1.9207406044,-0.0308084227145,0.518270254135,0.0,0.0,0.0
1635842850967026135,19317,0,,-1.9207406044,-0.0308084227145,0.518270254135,0.0,0.0,0.0
1635842850975156546,19318,0,,-1.9207406044,-0.0308084227145,0.518270254135,0.0,0.0,0.0
1635842850983099771,19319,0,,-1.92194116116,-0.0308317635208,0.5182492733,0.0,0.0,0.0
1635842850991097039,19320,0,,-1.92194116116,-0.0308317635208,0.5182492733,0.0,0.0,0.0
1635842850999035904,19321,0,,-1.92194116116,-0.0308317635208,0.5182492733,0.0,0.0,0.0
1635842851007051371,19322,0,,-1.92194116116,-0.0308317635208,0.5182492733,0.0,0.0,0.0
1635842851015032401,19323,0,,-1.92194116116,-0.0308317635208,0.5182492733,0.0,0.0,0.0
1635842851023124274,19324,0,,-1.92303955555,-0.0308619383723,0.518245816231,0.0,0.0,0.0
1635842851031115299,19325,0,,-1.92313706875,-0.0308645069599,0.518246769905,0.0,0.0,0.0
1635842851039179319,19326,0,,-1.92313706875,-0.0308645069599,0.518246769905,0.0,0.0,0.0
1635842851047072291,19327,0,,-1.92313706875,-0.0308645069599,0.518246769905,0.0,0.0,0.0
1635842851055048259,19328,0,,-1.92313706875,-0.0308645069599,0.518246769905,0.0,0.0,0.0
1635842851063037206,19329,0,,-1.92313706875,-0.0308645069599,0.518246769905,0.0,0.0,0.0
1635842851071081447,19330,0,,-1.92412829399,-0.0308862328529,0.518236279488,0.0,0.0,0.0
1635842851079063366,19331,0,,-1.92412829399,-0.0308862328529,0.518236279488,0.0,0.0,0.0
1635842851087210472,19332,0,,-1.92412829399,-0.0308862328529,0.518236279488,0.0,0.0,0.0
1635842851095096594,19333,0,,-1.92412829399,-0.0308862328529,0.518236279488,0.0,0.0,0.0
1635842851103137427,19334,0,,-1.92412829399,-0.0308862328529,0.518236279488,0.0,0.0,0.0
1635842851111188697,19335,0,,-1.92412829399,-0.0308862328529,0.518236279488,0.0,0.0,0.0
1635842851119208436,19336,0,,-1.92495977879,-0.030905963853,0.518230736256,0.0,0.0,0.0
1635842851127170519,19337,0,,-1.92495977879,-0.030905963853,0.518230736256,0.0,0.0,0.0
1635842851135179603,19338,0,,-1.92495977879,-0.030905963853,0.518230736256,0.0,0.0,0.0
1635842851143220828,19339,0,,-1.92495977879,-0.030905963853,0.518230736256,0.0,0.0,0.0
1635842851151138858,19340,0,,-1.92495977879,-0.030905963853,0.518230736256,0.0,0.0,0.0
1635842851159135733,19341,0,,-1.92537105083,-0.0309154372662,0.51825761795,0.0,0.0,0.0
1635842851167197952,19342,0,,-1.92537105083,-0.0309154372662,0.51825761795,0.0,0.0,0.0
1635842851175224470,19343,0,,-1.92537105083,-0.0309154372662,0.51825761795,0.0,0.0,0.0
1635842851183202364,19344,0,,-1.92537105083,-0.0309154372662,0.51825761795,0.0,0.0,0.0
1635842851191171134,19345,0,,-1.92537105083,-0.0309154372662,0.51825761795,0.0,0.0,0.0
1635842851199213515,19346,0,,-1.92537105083,-0.0309154372662,0.51825761795,0.0,0.0,0.0
1635842851207185701,19347,0,,-1.92543935776,-0.0309176966548,0.518285572529,0.0,0.0,0.0
