%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1635842850663168256,0.0247463396037,3.2643548182e-06,-0.00185818668592,-0.000168464935536,-0.00239247807798,0.000104989363747
1635842850671122495,0.0247463396037,3.2643548182e-06,-0.00185818668592,-0.000168464935536,-0.00239247807798,0.000104989363747
1635842850679168196,0.0247463396037,3.2643548182e-06,-0.00185818668592,-0.000168464935536,-0.00239247807798,0.000104989363747
1635842850687200921,0.0247463396037,3.2643548182e-06,-0.00185818668592,-0.000168464935536,-0.00239247807798,0.000104989363747
1635842850695048995,0.0247463396037,3.2643548182e-06,-0.00185818668592,-0.000168464935536,-0.00239247807798,0.000104989363747
1635842850703143462,0.0251345370138,4.89908727541e-05,-0.00087567677627,-0.000167592102677,-0.00109978869614,-0.000162271430451
1635842850711181075,0.0251345370138,4.89908727541e-05,-0.00087567677627,-0.000167592102677,-0.00109978869614,-0.000162271430451
1635842850719130183,0.0251345370138,4.89908727541e-05,-0.00087567677627,-0.000167592102677,-0.00109978869614,-0.000162271430451
1635842850727095740,0.0251345370138,4.89908727541e-05,-0.00087567677627,-0.000167592102677,-0.00109978869614,-0.000162271430451
1635842850735182863,0.0251345370138,4.89908727541e-05,-0.00087567677627,-0.000167592102677,-0.00109978869614,-0.000162271430451
1635842850743159690,0.0251345370138,4.89908727541e-05,-0.00087567677627,-0.000167592102677,-0.00109978869614,-0.000162271430451
1635842850751178805,0.024532045143,-0.000543259361611,-0.00151549105546,1.13345026026e-05,-0.00216192837861,0.000438217847641
1635842850759235954,0.024532045143,-0.000543259361611,-0.00151549105546,1.13345026026e-05,-0.00216192837861,0.000438217847641
1635842850767233306,0.024532045143,-0.000543259361611,-0.00151549105546,1.13345026026e-05,-0.00216192837861,0.000438217847641
1635842850775206651,0.024532045143,-0.000543259361611,-0.00151549105546,1.13345026026e-05,-0.00216192837861,0.000438217847641
1635842850783247876,0.024532045143,-0.000543259361611,-0.00151549105546,1.13345026026e-05,-0.00216192837861,0.000438217847641
1635842850791347171,0.024532045143,-0.000543259361611,-0.00151549105546,1.13345026026e-05,-0.00216192837861,0.000438217847641
1635842850799306816,0.0249000363596,-0.000306879989715,-0.000666925846199,-0.000171301873057,-0.000641049968661,0.00025871139623
1635842850807307435,0.0249000363596,-0.000306879989715,-0.000666925846199,-0.000171301873057,-0.000641049968661,0.00025871139623
1635842850815218441,0.0249000363596,-0.000306879989715,-0.000666925846199,-0.000171301873057,-0.000641049968661,0.00025871139623
1635842850823264125,0.0249000363596,-0.000306879989715,-0.000666925846199,-0.000171301873057,-0.000641049968661,0.00025871139623
1635842850831186013,0.0249000363596,-0.000306879989715,-0.000666925846199,-0.000171301873057,-0.000641049968661,0.00025871139623
1635842850839266910,0.0249000363596,-0.000306879989715,-0.000666925846199,-0.000171301873057,-0.000641049968661,0.00025871139623
1635842850847096363,0.0245756281751,-0.000674946851936,2.04104618783e-05,0.000188750807673,-0.000194704542967,0.000486733850331
1635842850855195049,0.0245756281751,-0.000674946851936,2.04104618783e-05,0.000188750807673,-0.000194704542967,0.000486733850331
1635842850863101574,0.0245756281751,-0.000674946851936,2.04104618783e-05,0.000188750807673,-0.000194704542967,0.000486733850331
1635842850871108423,0.0245756281751,-0.000674946851936,2.04104618783e-05,0.000188750807673,-0.000194704542967,0.000486733850331
1635842850879122079,0.0245756281751,-0.000674946851936,2.04104618783e-05,0.000188750807673,-0.000194704542967,0.000486733850331
1635842850887074815,0.024817243754,-0.000145655348344,-0.0006831486261,1.09707288445e-05,-0.00109527888142,0.000179041996899
1635842850895435800,0.0245578517082,-0.000142291061696,-0.000670009386476,1.34172683162e-05,-0.00108825323564,-4.1284152908e-05
1635842850903754111,0.0245578517082,-0.000142291061696,-0.000670009386476,1.34172683162e-05,-0.00108825323564,-4.1284152908e-05
1635842850911455664,0.0245578517082,-0.000142291061696,-0.000670009386476,1.34172683162e-05,-0.00108825323564,-4.1284152908e-05
1635842850919484114,0.0245578517082,-0.000142291061696,-0.000670009386476,1.34172683162e-05,-0.00108825323564,-4.1284152908e-05
1635842850927369508,0.0245578517082,-0.000142291061696,-0.000670009386476,1.34172683162e-05,-0.00108825323564,-4.1284152908e-05
1635842850935317797,0.0243807205282,-0.000100265112964,-6.27800007857e-05,1.40179951552e-05,-0.00043433483876,-7.06882639853e-05
