field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,field.speed,field.vx,field.vy,field.vz
1.59162354877295E+018,0,90.6888961792,61.957408905,-0.0926407203078,397.777526855,252.684295654,,1.59162354874056E+018,0,2.20000004768,,1.59162354876816E+018,0.0245999991894,-0.0122600002214,-0.0213699992746,-4.00E-05
1.59162354880839E+018,0.035442432,81.669593811,70.0693206787,-0.235740616918,396.000213623,253.808944702,,1.59162354877295E+018,0.032389888,2.20000004768,,1.59162354882834E+018,0.0245999991894,-0.0122899999842,-0.0213099997491,3.00E-05
1.5916235488421E+018,0.06915072,85.1706619263,70.9341964722,-0.108892664313,397.369110107,255.268356323,,1.59162354880839E+018,0.06783232,2.20000004768,,1.59162354889076E+018,0.0244999993593,-0.0122199999169,-0.0212500002235,3.00E-05
1.59162354886898E+018,0.096029952,84.4154281616,71.2225341797,-0.124668560922,396.476989746,254.495513916,,1.5916235488421E+018,0.101540608,2.20000004768,,1.59162354894238E+018,0.0244999993593,-0.0122199999169,-0.0212600007653,4.00E-05
1.59162354890093E+018,0.127976192,84.6791992188,59.4286727905,-0.343921422958,394.768859863,253.188690186,,1.59162354886898E+018,0.12841984,2.20000004768,,1.59162354904376E+018,0.0241000000387,-0.0119000002742,-0.0209500007331,-2.00E-05
1.59162354893753E+018,0.164583168,78.2414016724,68.5006866455,-0.438415557146,394.023406982,254.557846069,,1.59162354890093E+018,0.16036608,2.20000004768,,1.59162354911373E+018,0.0220999997109,-0.010929999873,-0.0191900003701,0
1.59162354897171E+018,0.198755584,85.4031600952,62.2502784729,-0.294602334499,395.767425537,253.199676514,,1.59162354893753E+018,0.196973056,2.20000004768,,1.59162354921681E+018,0.0174000002444,-0.00908999983221,-0.014809999615,-2.00E-05
1.59162354900087E+018,0.227917568,85.5310592651,59.3908157349,-0.31715092063,394.527709961,252.195281982,,1.59162354897171E+018,0.231145472,2.20000004768,,1.59162354926883E+018,0.0151000004262,-0.00800999999046,-0.0128499995917,-3.00E-05
1.59162354903732E+018,0.264367872,85.5747146606,66.4724349976,0.060522865504,398.437530518,252.826370239,,1.59162354900087E+018,0.260307456,2.20000004768,,1.59162354932427E+018,0.0118000004441,-0.0063599999994,-0.00996000040323,-7.00E-05
1.59162354907667E+018,0.303717376,85.3674163818,67.9361419678,-0.206905648112,399.77923584,252.766464233,,1.59162354903732E+018,0.29675776,2.20000004768,,1.59162354937648E+018,0.00800000037998,-0.00453000003472,-0.00661000004038,-3.00E-05
