time,stamps,major_axis,minor_axis,orientation,x,y,minor_axis_average
1.62004607824916E+018,1.62004607823046E+018,75.9407653809,9.70750331879,1.27887094021,313.863677979,187.663574219,2.51774764061
1.62004607828528E+018,1.6200460782671E+018,74.8898544312,9.63890361786,1.28564715385,314.410522461,189.50440979,2.51774764061
1.62004607832145E+018,1.62004607829853E+018,65.5622177124,9.73102474213,1.28516507149,315.190429688,191.549301147,2.51774764061
1.62004607835186E+018,1.62004607832959E+018,79.4304428101,9.56644153595,1.28477525711,313.929382324,187.706130981,2.51774764061
1.62004607838153E+018,1.6200460783618E+018,50.4008178711,9.92743968964,1.24193775654,316.259277344,196.59046936,2.51774764061
1.62004607840743E+018,1.6200460783925E+018,76.6989593506,9.41953754425,1.28086411953,314.192626953,188.510925293,2.51774764061
1.62004607844146E+018,1.62004607842483E+018,77.2537231445,9.57571411133,1.28447031975,314.006988525,187.849472046,2.51774764061
1.62004607847989E+018,1.62004607846106E+018,48.1680374146,10.2585124969,1.24962866306,316.431182861,197.037887573,2.51774764061
1.6200460785151E+018,1.62004607849361E+018,48.5440216064,10.0133771896,1.24777197838,316.278045654,196.689483643,2.51774764061
1.62004607854401E+018,1.62004607852613E+018,78.7734603882,9.39813995361,1.2764621973,313.884307861,187.860107422,2.51774764061
1.62004607857702E+018,1.62004607856117E+018,48.3007278442,10.0828866959,1.24870240688,316.61895752,197.223358154,2.51774764061
1.62004607861376E+018,1.62004607859801E+018,48.8615570068,10.0788869858,1.24511778355,316.358764648,196.564102173,2.51774764061
1.62004607864665E+018,1.62004607863006E+018,51.016784668,9.91635036469,1.2498716116,316.308776855,196.323516846,2.51774764061
1.62004607868211E+018,1.6200460786662E+018,48.2395095825,10.2454681396,1.24023783207,316.387573242,196.874465942,2.51774764061
1.62004607871319E+018,1.62004607869777E+018,49.3644599915,9.98196220398,1.24799776077,316.594451904,197.242446899,2.51774764061
1.62004607874784E+018,1.62004607872971E+018,77.5369338989,9.68283748627,1.28286099434,314.382324219,188.868972778,2.51774764061
1.62004607878159E+018,1.62004607876028E+018,75.1538238525,9.61261940002,1.28078365326,314.077850342,188.172271729,2.51774764061
1.62004607880759E+018,1.62004607879224E+018,48.949344635,9.89878082275,1.2475823164,316.049804688,195.798965454,2.51774764061
1.62004607884691E+018,1.6200460788305E+018,50.141040802,9.93456840515,1.24469459057,316.200012207,196.212677002,2.51774764061
1.62004607888764E+018,1.6200460788666E+018,49.2623558044,10.0832366943,1.24768960476,316.319885254,196.845657349,2.51774764061
1.62004607891582E+018,1.62004607889852E+018,51.3610534668,9.90604305267,1.24664509296,316.297241211,196.548416138,2.51774764061
1.62004607894679E+018,1.62004607893078E+018,74.9458236694,9.67853355408,1.28941655159,314.246765137,188.254272461,2.51774764061
1.62004607898477E+018,1.62004607896657E+018,75.7277526855,9.63401317596,1.28014421463,313.926269531,187.904281616,2.51774764061
1.62004607901669E+018,1.62004607899852E+018,67.9225616455,9.62184143066,1.27900314331,314.95324707,191.227584839,2.51774764061
1.62004607905386E+018,1.62004607903073E+018,77.2330093384,9.45539188385,1.27779006958,313.808990479,187.874755859,2.51774764061
1.62004607908477E+018,1.62004607906659E+018,50.7982788086,9.87290668488,1.24568939209,316.201965332,196.330368042,2.51774764061
1.62004607911703E+018,1.62004607909864E+018,50.2808761597,9.80551624298,1.25002980232,316.388031006,196.88444519,2.51774764061
1.62004607914706E+018,1.62004607913062E+018,74.4295425415,9.42338371277,1.27733457088,313.73916626,187.23449707,2.51774764061
1.62004607918333E+018,1.62004607916704E+018,49.8117713928,9.88847637177,1.25139248371,316.346191406,196.423400879,2.51774764061
