%time,field.header.seq,field.header.stamp,time,field.major_axis,field.minor_axis,field.orientation,field.x,field.y,,field.header.stamp,time,field.value,,field.header.stamp,time,field.speed,field.vx,field.vy,field.vz
1.59161402095199E+018,342,1.59161402091156E+018,0,40.3303108215,39.5667457581,-0.508927464485,381.686126709,264.478912354,,1.59161402091156E+018,0,2.20000004768,,1.59161402090274E+018,0,0.00570000009611,-0.00227999989875,-0.00517999986187,6.00E-05
1.59161402097146E+018,343,1.59161402094386E+018,0.032300032,44.9422798157,34.6296424866,1.20785403252,378.070526123,256.683380127,,1.59161402094386E+018,0.032302336,2.20000004768,,1.59161402096063E+018,0.057896192,0.00410000002012,-0.00156000000425,-0.00374000007287,8.00E-05
1.59161402099911E+018,344,1.59161402097836E+018,0.06679424,56.1644325256,40.4621353149,0.454963117838,381.05291748,256.145385742,,1.59161402097836E+018,0.066796544,2.20000004768,,1.59161402101895E+018,0.11621888,0.00410000002012,-0.00132000003941,-0.00383000005968,0.000110000000859
1.59161402104961E+018,345,1.59161402101716E+018,0.105595904,45.4503822327,40.2672843933,1.43731784821,377.44934082,266.541870117,,1.59161402101716E+018,0.105598208,2.20000004768,,1.59161402109044E+018,0.18770688,0.0010000000475,0.000989999971353,0.000190000006114,-3.00E-05
1.59161402107724E+018,346,1.59161402104576E+018,0.134193152,45.2909622192,37.003993988,0.888333320618,378.736206055,259.877655029,,1.59161402104576E+018,0.134195456,2.20000004768,,1.5916140211427E+018,0.23996416,0.00810000021011,0.00406999979168,0.00694000022486,6.00E-05
1.59161402110545E+018,347,1.59161402107674E+018,0.165180928,54.768409729,32.3773002625,0.987347006798,374.47467041,260.421264648,,1.59161402107674E+018,0.165183232,2.20000004768,,1.59161402121367E+018,0.310933248,0.0162000004202,0.00755000021309,0.0142999999225,8.00E-05
1.59161402114392E+018,348,1.59161402112118E+018,0.209622528,53.3653297424,36.9233398438,0.593991041183,378.806762695,260.095367432,,1.59161402112118E+018,0.209624832,2.20000004768,,1.59161402127329E+018,0.370555392,0.0219000000507,0.010219999589,0.0194199997932,0
1.59161402118283E+018,349,1.5916140211573E+018,0.2457408,53.2580337524,34.9629898071,0.400822520256,374.567169189,259.135803223,,1.5916140211573E+018,0.245743104,2.20000004768,,1.59161402132702E+018,0.424288768,0.0241000000387,0.0111999996006,0.0213500000536,2.00E-05
1.59161402121553E+018,350,1.59161402118519E+018,0.273632,48.6978111267,39.203754425,0.284591257572,378.606994629,264.909698486,,1.59161402118519E+018,0.273634304,2.20000004768,,1.59161402137871E+018,0.475972096,0.0252999998629,0.0116999996826,0.0224500000477,4.00E-05
1.59161402125707E+018,351,1.59161402121862E+018,0.30706176,48.7002449036,40.4334526062,0.659709632397,377.699981689,265.364196777,,1.59161402121862E+018,0.307064064,2.20000004768,,1.59161402143413E+018,0.53139712,0.0252999998629,0.0118000004441,0.0223799999803,-3.00E-05
1.59161402128861E+018,352,1.59161402125974E+018,0.348175616,68.2891464233,38.4855613708,0.264951109886,373.58013916,263.53704834,,1.59161402125974E+018,0.34817792,2.20000004768,,1.59161402149382E+018,0.59108096,0.0251000002027,0.0117800002918,0.0221599992365,-5.00E-05
1.59161402130546E+018,353,1.59161402128794E+018,0.376376832,48.8972663879,39.4346923828,0.443917542696,376.16885376,261.396179199,,1.59161402128794E+018,0.376379136,2.20000004768,,1.59161402155239E+018,0.649656064,0.0248000007123,0.0117100002244,0.0218599997461,-7.00E-05
1.59161402134175E+018,354,1.59161402132426E+018,0.4126976,51.1543922424,39.4049873352,0.575275659561,378.099761963,265.38381958,,1.59161402132426E+018,0.412699904,2.20000004768,,1.59161402160467E+018,0.701932288,0.0249000005424,0.0118100000545,0.0219199992716,-6.00E-05
1.59161402136992E+018,355,1.59161402135161E+018,0.440044544,61.5087890625,42.9206314087,0.380988627672,380.213012695,263.094421387,,1.59161402135161E+018,0.440046848,2.20000004768,,1.59161402166121E+018,0.758470912,0.0245999991894,0.0116400001571,0.0217199996114,2.00E-05
1.59161402140288E+018,356,1.59161402138301E+018,0.471450112,45.1003189087,36.7371788025,0.644287347794,377.296173096,262.747161865,,1.59161402138301E+018,0.471452416,2.20000004768,,1.59161402172698E+018,0.824241408,0.0243999995291,0.0115000000224,0.0215700007975,5.00E-05
1.59161402143747E+018,357,1.59161402141305E+018,0.501485824,64.7862701416,40.5571937561,0.258438080549,374.667266846,261.144287109,,1.59161402141305E+018,0.501488128,2.20000004768,,1.59161402179075E+018,0.888013312,0.0229000002146,0.0108099998906,0.0201399996877,1.00E-05
1.59161402146333E+018,358,1.59161402144437E+018,0.53281152,73.1734848022,41.1369590759,0.128725618124,374.678863525,264.896728516,,1.59161402144437E+018,0.532813824,2.20000004768,,1.59161402185327E+018,0.950531072,0.0208999998868,0.00958999991417,0.0185300000012,1.00E-05
1.59161402150114E+018,359,1.59161402148161E+018,0.57004544,54.3744316101,38.9833183289,0.48652356863,381.163665771,264.168914795,,1.59161402148161E+018,0.570047744,2.20000004768,,1.5916140219152E+018,1.01246464,0.0193000007421,0.00848999992013,0.0173000004143,2.00E-05
1.59161402154302E+018,360,1.59161402151599E+018,0.6044288,50.0761184692,40.3330459595,0.492618769407,381.214752197,260.161987305,,1.59161402151599E+018,0.604431104,2.20000004768,,1.59161402196773E+018,1.064993024,0.0170000009239,0.00736000016332,0.0153099996969,5.00E-05
