%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration,field.acceleration_averaged
1635821699103679014,523,1635821699103516101,,1.85281002522,9.40748786926
1635821699107654680,524,1635821699107510089,,-22.0080795288,3.52839803696
1635821699111789922,525,1635821699111628055,,13.4289598465,3.3856139183
1635821699115800357,526,1635821699115642070,,-14.0009403229,2.27600002289
1635821699119666229,527,1635821699119522094,,-5.95356988907,-5.33616399765
1635821699123702134,528,1635821699123562097,,18.3415699005,-2.03841209412
1635821699127702178,529,1635821699127556085,,-30.1453094482,-3.66585803032
1635821699131717459,530,1635821699131524085,,7.83769989014,-4.78411006927
1635821699135758997,531,1635821699135595083,,-7.83591985703,-3.5511059761
1635821699139622028,532,1635821699139508008,,8.35692024231,-0.689007997513
1635821699143670712,533,1635821699143512964,,8.51445007324,-2.65443205833
1635821699147773830,534,1635821699147625923,,-7.36696004868,1.90123796463
1635821699151829205,535,1635821699151660919,,20.991350174,4.53196811676
1635821699155690582,536,1635821699155530929,,-22.7131195068,1.55652797222
1635821699159724163,537,1635821699159590005,,-2.68533992767,-0.651924014091
1635821699163989694,538,1635821699163815021,,-2.69821000099,-2.89445590973
1635821699167641254,539,1635821699167504072,,26.9988193512,3.97869992256
1635821699171776371,540,1635821699171634912,,-12.5156097412,-2.72269201279
1635821699175763927,541,1635821699175623893,,8.57361984253,3.53465604782
1635821699179727282,542,1635821699179570913,,-31.1374206543,-2.15576004982
1635821699183714738,543,1635821699183573007,,10.6694097519,0.517763972282
1635821699187720805,544,1635821699187565088,,4.68426990509,-3.94514608383
1635821699191578582,545,1635821699191445112,,-1.88143002987,-1.81831002235
1635821699195788190,546,1635821699195628881,,1.21899998188,-3.28923392296
1635821699199715819,547,1635821699199572086,,0.50720000267,3.0396900177
1635821699203642609,548,1635821699203496932,,25.6570491791,6.03721809387
1635821699207786277,549,1635821699207636117,,-21.6709308624,0.766178011894
1635821699211804699,550,1635821699211606025,,28.6404590607,6.87055587769
