%time,field.header.seq,field.header.stamp,field.header.frame_id,field.acceleration
1592031202151138718,1385,1592031202098772048,,0.0
1592031202204052434,1386,1592031202151213884,,0.0
1592031202257222165,1387,1592031202203707933,,0.0
1592031202308426776,1388,1592031202255908966,,0.0
1592031202361392779,1389,1592031202308558940,,0.0
1592031202412875925,1390,1592031202361037969,,0.0
1592031202464448355,1391,1592031202412885904,,0.0
1592031202516210646,1392,1592031202464505910,,0.0
1592031202568963527,1393,1592031202516294956,,0.0
1592031202621968937,1394,1592031202569026947,,0.0
1592031203574385684,1395,1592031202621532917,,0.0
1592031203626467650,1396,1592031203573842048,,0.0
1592031203679295982,1397,1592031203626519918,,0.0
1592031203731934024,1398,1592031203679100990,,0.0
1592031203787233632,1399,1592031203731477975,,0.0
1592031203840083938,1400,1592031203787309885,,0.0
1592031203891981344,1401,1592031203839833974,,0.0
1592031203946061343,1402,1592031203891979932,,0.0
1592031203997805844,1403,1592031203945101976,,0.0
1592031204049333980,1404,1592031203997520923,,0.0
1592031204101788346,1405,1592031204049129009,,0.0
1592031204155431269,1406,1592031204101849079,,0.0
1592031204257982222,1407,1592031204155534982,,0.0
1592031204310014832,1408,1592031204258094072,,0.0
1592031204361782760,1409,1592031204309746980,,0.0
1592031204413848788,1410,1592031204361558914,,0.0
1592031204466650321,1411,1592031204413944959,,0.0
1592031204520097209,1412,1592031204466326951,,0.0
1592031204572251332,1413,1592031204520302057,,0.0
1592031204624235745,1414,1592031204572241067,,0.0
1592031204678850717,1415,1592031204624216079,,0.0
1592031204731931365,1416,1592031204677393913,,0.0
1592031204784679968,1417,1592031204732059955,,0.0
1592031204836167336,1418,1592031204784440994,,0.0
1592031204887918749,1419,1592031204835959911,,0.0
1592031204989189313,1420,1592031204887706995,,0.0
1592031205041214503,1421,1592031204989289045,,0.0
1592031205092750674,1422,1592031205040951013,,0.0
1592031205144358950,1423,1592031205092509984,,0.0
1592031205196237726,1424,1592031205144383907,,0.0
1592031205247629229,1425,1592031205195897102,,0.0
1592031205300033707,1426,1592031205247623920,,0.0
1592031205352415383,1427,1592031205300143957,,0.0
1592031205404572543,1428,1592031205352106094,,0.0
1592031205457646313,1429,1592031205404686927,,0.0
1592031205561571820,1430,1592031205457344055,,0.0
1592031205614113363,1431,1592031205561765909,,0.0
1592031205666581127,1432,1592031205614197015,,0.0
1592031205719283561,1433,1592031205666698932,,0.0
1592031205772295290,1434,1592031205719340085,,0.0
1592031205824999297,1435,1592031205772363901,,0.0
1592031205878524320,1436,1592031205824666976,,0.0
1592031205931974937,1437,1592031205878541946,,0.0
1592031205983304358,1438,1592031205931559085,,0.0
1592031206035468778,1439,1592031205983119010,,0.0
1592031206088414164,1440,1592031206035531997,,0.0
1592031206141048454,1441,1592031206088059902,,0.0
1592031206193514563,1442,1592031206141253948,,0.0
1592031206295207565,1443,1592031206193264961,,0.0
1592031206346859998,1444,1592031206295239925,,0.0
1592031206403125237,1445,1592031206346874952,,0.0
1592031206455214592,1446,1592031206402755975,,0.0
1592031206507843670,1447,1592031206455261945,,0.0
