%time,field.header.seq,field.header.stamp,field.header.frame_id,field.absolute_acceleration,field.ax,field.ay,field.az
1591865207098352922,593,1591865207046183109,,9.99999974738e-05,-4.99999987369e-05,0.0,7.00000018696e-05
1591865207149733108,594,1591865207098175048,,0.000300000014249,0.000230000005104,0.000199999994948,3.99999989895e-05
1591865207201803732,595,1591865207149791002,,0.000300000014249,-0.000239999993937,7.00000018696e-05,-0.000199999994948
1591865207253780571,596,1591865207201540946,,9.99999974738e-05,-7.00000018696e-05,-2.99999992421e-05,-5.99999984843e-05
1591865207306131616,597,1591865207253835916,,0.000199999994948,0.000150000007125,9.00000013644e-05,0.0
1591865207357502210,598,1591865207306180000,,9.99999974738e-05,0.0,7.9999997979e-05,4.99999987369e-05
1591865207408939469,599,1591865207357520103,,9.99999974738e-05,-9.00000013644e-05,-9.00000013644e-05,-7.00000018696e-05
1591865207462481343,600,1591865207408950090,,0.00159999995958,0.00156000000425,0.00044999999227,-9.99999974738e-06
1591865207513592403,601,1591865207461083889,,0.000500000023749,0.000399999989895,0.000250000011874,-7.9999997979e-05
1591865207565582143,602,1591865207513299942,,9.99999974738e-05,5.99999984843e-05,4.99999987369e-05,-7.9999997979e-05
1591865207616085548,603,1591865207564677000,,0.000199999994948,-4.99999987369e-05,-4.99999987369e-05,-0.000199999994948
1591865207667645035,604,1591865207615997076,,0.000300000014249,-3.99999989895e-05,-0.000119999996969,-0.000310000003083
1591865207719669552,605,1591865207667376041,,0.000399999989895,0.000199999994948,-0.000169999999343,0.000300000014249
1591865207773559343,606,1591865207719685077,,9.99999974738e-05,-3.99999989895e-05,-9.99999974738e-06,9.00000013644e-05
1591865207825718318,607,1591865207773180007,,0.0010000000475,-0.000969999993686,-0.000180000002729,1.99999994948e-05
1591865207878001148,608,1591865207825464963,,0.000300000014249,9.00000013644e-05,-0.000190000006114,-0.000220000001718
1591865207930036726,609,1591865207877737998,,0.000399999989895,0.000250000011874,-9.00000013644e-05,0.000250000011874
1591865207983727453,610,1591865207930371999,,0.00139999995008,-0.00138999999035,-0.000280000007479,1.99999994948e-05
1591865208034937470,611,1591865207983038902,,9.99999974738e-05,4.99999987369e-05,4.99999987369e-05,9.99999974738e-06
1591865208086689098,612,1591865208034774065,,0.000300000014249,9.99999974738e-05,-0.000180000002729,0.000169999999343
1591865208138759596,613,1591865208086405038,,9.99999974738e-05,-7.9999997979e-05,4.99999987369e-05,-1.99999994948e-05
1591865208190249628,614,1591865208138761043,,9.99999974738e-05,-0.000130000000354,2.99999992421e-05,-4.99999987369e-05
1591865208292705713,615,1591865208190277099,,9.99999974738e-05,1.99999994948e-05,0.000110000000859,-7.9999997979e-05
1591865208344602536,616,1591865208292567014,,0.000199999994948,-0.000119999996969,-0.000140000003739,-9.99999974738e-06
1591865208397264690,617,1591865208344655990,,0.00079999997979,0.000769999984186,0.000239999993937,0.000110000000859
1591865208449387029,618,1591865208397047996,,0.000399999989895,-0.000140000003739,0.000410000007832,1.99999994948e-05
1591865208500816050,619,1591865208449141979,,0.000300000014249,-0.000239999993937,0.000190000006114,-5.99999984843e-05
