time,stamp,speed,vx,vy,vz
1.62004607825451E+018,1.62004607815207E+018,0,0,0,0
1.62004607835776E+018,1.62004607825422E+018,0,1E-05,0,0
1.62004607840832E+018,1.62004607835626E+018,0,0,0,0
1.62004607851048E+018,1.62004607840841E+018,0,0,0,0
1.62004607861262E+018,1.62004607851057E+018,0,0,0,0
1.6200460786641E+018,1.62004607861275E+018,0,0,0,0
1.62004607876569E+018,1.62004607866417E+018,0,0,0,0
1.62004607886835E+018,1.62004607876587E+018,0,0,0,0
1.62004607891958E+018,1.6200460788681E+018,0,0,0,0
1.62004607902202E+018,1.62004607891962E+018,0,0,0,0
1.62004607912365E+018,1.62004607902171E+018,0,-1E-05,0,0
1.62004607917694E+018,1.62004607912381E+018,0,0,0,0
1.62004607932901E+018,1.62004607917667E+018,0,0,0,0
1.62004607938036E+018,1.62004607932911E+018,0,0,0,0
1.62004607948242E+018,1.62004607938048E+018,0,0,0,0
1.62004607958372E+018,1.62004607948218E+018,0,0,0,0
1.6200460796389E+018,1.62004607958376E+018,0,0,0,0
1.62004607974113E+018,1.62004607963909E+018,0,1E-05,0,1E-05
1.6200460798428E+018,1.62004607974066E+018,0,0,0,0
1.62004607989525E+018,1.62004607984293E+018,0,0,0,0
1.62004607999772E+018,1.62004607989542E+018,0,0,-1E-05,0
1.62004608009893E+018,1.62004607999746E+018,0,0,0,0
1.62004608015153E+018,1.62004608009902E+018,0,0,0,0
1.62004608025397E+018,1.62004608015124E+018,0,-1E-05,0,-1E-05
1.62004608035505E+018,1.6200460802537E+018,0,0,-1E-05,0
1.62004608045715E+018,1.62004608035511E+018,0,0,2E-05,0
1.62004608055979E+018,1.62004608045733E+018,0,0,-1E-05,0
1.62004608066157E+018,1.62004608055947E+018,0,-2E-05,-1E-05,-1E-05
1.62004608076427E+018,1.62004608066167E+018,0.000199999994948,5E-05,-0.000150000007125,0
1.62004608086638E+018,1.62004608076395E+018,0.000500000023749,0.000239999993937,-0.000419999996666,2E-05
1.62004608096913E+018,1.62004608086605E+018,0.0010000000475,0.000230000005104,-0.00101999996696,-1E-05
1.62004608107122E+018,1.62004608096857E+018,0.00329999998212,-0.000119999996969,-0.00332999997772,-7E-05
1.62004608117294E+018,1.62004608107084E+018,0.00380000006407,-4E-05,-0.00375999999233,-6E-05
1.62004608127518E+018,1.62004608117306E+018,0.00380000006407,0.000110000000859,-0.00383000005968,-7E-05
1.62004608137763E+018,1.6200460812754E+018,0.00460000010207,0.000159999995958,-0.00463999994099,-6E-05
1.62004608147974E+018,1.62004608137763E+018,0.00490000005811,0.000119999996969,-0.00490000005811,-0.000130000000354
1.62004608158198E+018,1.62004608147953E+018,0.00480000022799,0.000319999991916,-0.00480000022799,-0.000119999996969
1.62004608168367E+018,1.62004608158164E+018,0.0046999999322,0.000230000005104,-0.00466000009328,-0.000130000000354
1.62004608178538E+018,1.62004608168382E+018,0.0038999998942,0.000140000003739,-0.0038699998986,-0.000150000007125
1.62004608188649E+018,1.62004608178516E+018,0.00200000009499,6E-05,-0.00202000001445,-0.000150000007125
1.62004608198818E+018,1.62004608188663E+018,0.0001,2E-05,-0.0001,-8E-05
1.62004608209036E+018,1.62004608198796E+018,0.0001,-6E-05,2E-05,-6E-05
1.62004608219212E+018,1.62004608209007E+018,0.0001,-4E-05,1E-05,-4E-05
1.62004608229451E+018,1.62004608219223E+018,0,-3E-05,1E-05,-3E-05
1.62004608239674E+018,1.62004608229423E+018,0,-3E-05,1E-05,-2E-05
1.62004608254785E+018,1.62004608239632E+018,0,-2E-05,1E-05,-2E-05
1.62004608265026E+018,1.62004608254763E+018,0,-2E-05,1E-05,-2E-05
1.62004608275227E+018,1.62004608265001E+018,0,-2E-05,1E-05,-1E-05
1.62004608285407E+018,1.62004608275245E+018,0,-1E-05,0,-1E-05
1.6200460829557E+018,1.62004608285383E+018,0,0,0,-1E-05
1.62004608305784E+018,1.62004608295584E+018,0,-1E-05,1E-05,-1E-05
1.62004608315992E+018,1.62004608305796E+018,0,-1E-05,0,-1E-05
1.62004608326131E+018,1.62004608316005E+018,0,0,0,0
1.62004608336304E+018,1.62004608326143E+018,0,0,0,-1E-05
1.62004608346594E+018,1.62004608336314E+018,0,0,0,0
1.62004608356708E+018,1.62004608346562E+018,0,0,-1E-05,0
1.62004608366884E+018,1.62004608356725E+018,0,0,1E-05,0
1.62004608377058E+018,1.62004608366864E+018,0,0,0,0
1.62004608387302E+018,1.6200460837703E+018,0,0,0,0
1.62004608392484E+018,1.62004608387324E+018,0,0,1E-05,0
1.62004608402703E+018,1.62004608392465E+018,0,0,2E-05,0
1.62004608412883E+018,1.6200460840268E+018,0,0,-1E-05,0
1.62004608423118E+018,1.62004608412901E+018,0,0,1E-05,0
1.62004608433297E+018,1.6200460842309E+018,0,0,1E-05,0
1.62004608443485E+018,1.62004608433276E+018,0,0,1E-05,0
1.62004608453623E+018,1.62004608443487E+018,0,0,-1E-05,0
1.62004608463774E+018,1.62004608453636E+018,0,0,0,0
