# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 44943
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 44943
DATA ascii
-0.063318 -0.126832 -0.177871
-0.063315 -0.126759 -0.177891
-0.063312 -0.126685 -0.177891
-0.063311 -0.126610 -0.177879
-0.063308 -0.126534 -0.177876
-0.063306 -0.126460 -0.177880
-0.063303 -0.126385 -0.177892
-0.063301 -0.126311 -0.177894
-0.063298 -0.126237 -0.177897
-0.063296 -0.126163 -0.177905
-0.063293 -0.126089 -0.177905
-0.063291 -0.126013 -0.177901
-0.063289 -0.125939 -0.177908
-0.063286 -0.125865 -0.177904
-0.063285 -0.125788 -0.177876
-0.063283 -0.125712 -0.177868
-0.063281 -0.125638 -0.177875
-0.063277 -0.125565 -0.177899
-0.063275 -0.125491 -0.177907
-0.063273 -0.125416 -0.177892
-0.063271 -0.125341 -0.177898
-0.063267 -0.125269 -0.177918
-0.063264 -0.125195 -0.177934
-0.063261 -0.125122 -0.177957
-0.063258 -0.125050 -0.177979
-0.063254 -0.124977 -0.178007
-0.063252 -0.124903 -0.178009
-0.063250 -0.124827 -0.178006
-0.063247 -0.124753 -0.178010
-0.063245 -0.124679 -0.178010
-0.063244 -0.124602 -0.177984
-0.063242 -0.124528 -0.177979
-0.063239 -0.124454 -0.177991
-0.063236 -0.124379 -0.178001
-0.063233 -0.124305 -0.178008
-0.063231 -0.124231 -0.178014
-0.063220 -0.123857 -0.178005
-0.063217 -0.123783 -0.178007
-0.063194 -0.123114 -0.178060
-0.063192 -0.123039 -0.178052
-0.063190 -0.122963 -0.178046
-0.063188 -0.122889 -0.178049
-0.063178 -0.122669 -0.178121
-0.063176 -0.122593 -0.178116
-0.063130 -0.121177 -0.178153
-0.063128 -0.121103 -0.178159
-0.063125 -0.121028 -0.178175
-0.063123 -0.134334 -0.177917
-0.063121 -0.134258 -0.177908
-0.063119 -0.134180 -0.177892
-0.063118 -0.134105 -0.177876
-0.063117 -0.134025 -0.177846
-0.063117 -0.133944 -0.177792
-0.063116 -0.133865 -0.177769
-0.063113 -0.133791 -0.177773
-0.063110 -0.133719 -0.177783
-0.063108 -0.133644 -0.177791
-0.063105 -0.133572 -0.177808
-0.063102 -0.133500 -0.177820
-0.063099 -0.133426 -0.177828
-0.063096 -0.133355 -0.177849
-0.063093 -0.133281 -0.177863
-0.063090 -0.133209 -0.177879
-0.063087 -0.133136 -0.177896
-0.063084 -0.133062 -0.177902
-0.063082 -0.132990 -0.177912
-0.063079 -0.132914 -0.177910
-0.063078 -0.132838 -0.177901
-0.063075 -0.132764 -0.177907
-0.063072 -0.132692 -0.177917
-0.063070 -0.132616 -0.177911
-0.063070 -0.132533 -0.177855
-0.063071 -0.132451 -0.177790
-0.063070 -0.132373 -0.177770
-0.063068 -0.132299 -0.177762
-0.063066 -0.132224 -0.177756
-0.063064 -0.132148 -0.177749
